# Q Iq dIq dQ fit
1.417999999999999990e-03 6.875000000000000000e+02 2.073999999999999844e+01 2.325999999999999888e-04 1.038429471942390137e+03
1.675999999999999972e-03 6.711000000000000227e+02 1.769999999999999929e+01 2.359999999999999902e-04 9.521985636134769493e+02
1.933999999999999955e-03 6.827000000000000455e+02 1.591000000000000014e+01 2.400000000000000061e-04 8.600106213983295902e+02
2.191999999999999938e-03 6.437999999999999545e+02 1.443999999999999950e+01 2.446999999999999848e-04 7.616790837324595032e+02
2.449999999999999921e-03 6.341000000000000227e+02 1.381000000000000050e+01 2.500000000000000052e-04 6.602934114335166669e+02
2.707999999999999904e-03 5.802999999999999545e+02 1.317999999999999972e+01 2.556999999999999811e-04 5.596037813487567973e+02
2.965999999999999887e-03 5.271000000000000227e+02 1.098000000000000043e+01 2.619000000000000234e-04 4.616474012625475893e+02
3.223000000000000170e-03 4.910000000000000000e+02 1.000999999999999979e+01 2.685000000000000212e-04 3.735395231018015920e+02
3.481000000000000153e-03 4.098999999999999773e+02 9.513999999999999346e+00 2.754000000000000263e-04 2.962143429547944038e+02
3.739000000000000136e-03 3.310000000000000000e+02 8.467000000000000526e+00 2.827999999999999893e-04 2.322705665944491784e+02
3.996999999999999685e-03 2.686000000000000227e+02 6.777999999999999581e+00 2.904000000000000114e-04 1.826634673090321144e+02
4.255000000000000102e-03 2.163000000000000114e+02 6.474999999999999645e+00 2.983999999999999890e-04 1.469049589164246754e+02
4.512999999999999651e-03 1.606999999999999886e+02 5.187000000000000277e+00 3.066000000000000257e-04 1.232020018918922801e+02
4.771000000000000067e-03 1.291999999999999886e+02 4.288999999999999702e+00 3.151000000000000155e-04 1.100924343259006690e+02
5.028000000000000351e-03 1.087999999999999972e+02 3.914000000000000146e+00 3.238000000000000101e-04 1.017587013810060199e+02
5.285999999999999900e-03 9.393000000000000682e+01 3.604999999999999982e+00 3.327000000000000096e-04 9.710951517867732719e+01
5.544000000000000317e-03 7.851000000000000512e+01 2.975999999999999979e+00 3.418000000000000140e-04 9.407952351030706950e+01
5.801999999999999866e-03 7.506999999999999318e+01 3.144000000000000128e+00 3.511000000000000232e-04 9.119622841942045000e+01
6.060000000000000282e-03 7.373000000000000398e+01 2.806000000000000050e+00 3.605999999999999830e-04 8.785515717540286573e+01
6.317999999999999831e-03 7.743000000000000682e+01 2.774000000000000021e+00 3.701999999999999996e-04 8.377788243481803931e+01
6.576000000000000248e-03 7.528000000000000114e+01 2.710999999999999854e+00 3.800000000000000209e-04 7.905941643246985961e+01
6.832999999999999664e-03 7.834999999999999432e+01 2.633000000000000007e+00 3.898999999999999905e-04 7.396944541606917767e+01
7.091000000000000081e-03 7.240000000000000568e+01 2.592999999999999972e+00 3.999000000000000167e-04 6.875721739797921828e+01
7.348999999999999630e-03 7.123000000000000398e+01 2.681000000000000050e+00 4.099999999999999912e-04 6.369169527694825916e+01
7.607000000000000046e-03 6.865999999999999659e+01 2.528999999999999915e+00 4.203000000000000247e-04 5.922583588825706613e+01
7.865000000000000463e-03 6.192000000000000171e+01 2.164000000000000146e+00 4.306000000000000040e-04 5.489197423983192436e+01
8.123000000000000012e-03 6.193999999999999773e+01 2.299999999999999822e+00 4.409999999999999858e-04 5.106520312945604445e+01
8.380000000000000296e-03 5.378000000000000114e+01 2.057999999999999829e+00 4.515000000000000241e-04 4.770408426086787301e+01
8.637999999999999845e-03 4.906000000000000227e+01 1.915000000000000036e+00 4.621000000000000107e-04 4.474422073042682513e+01
8.895999999999999394e-03 4.295000000000000284e+01 2.064000000000000057e+00 4.727999999999999998e-04 4.214382569014209423e+01
9.154000000000000678e-03 3.871000000000000085e+01 1.735999999999999988e+00 4.834999999999999888e-04 3.984271227378454938e+01
9.412000000000000227e-03 3.577000000000000313e+01 1.586000000000000076e+00 4.943000000000000345e-04 3.778311895947616250e+01
9.669999999999999776e-03 3.435999999999999943e+01 1.556000000000000050e+00 5.050999999999999717e-04 3.591460911419872559e+01
9.927000000000000060e-03 3.275000000000000000e+01 1.520999999999999908e+00 5.159999999999999656e-04 3.427447468793867813e+01
1.018999999999999941e-02 2.892000000000000171e+01 1.417999999999999927e+00 5.270000000000000162e-04 3.264014838158838927e+01
1.043999999999999963e-02 2.719000000000000128e+01 1.352000000000000091e+00 5.379999999999999583e-04 3.117173864221820168e+01
1.069999999999999944e-02 2.789000000000000057e+01 1.493000000000000105e+00 5.490999999999999570e-04 2.972160231877257530e+01
1.095999999999999926e-02 2.557000000000000028e+01 1.270999999999999908e+00 5.601999999999999558e-04 2.833751107153456417e+01
1.122000000000000081e-02 2.580999999999999872e+01 1.322999999999999954e+00 5.712999999999999546e-04 2.701536495560263518e+01
1.146999999999999929e-02 2.644000000000000128e+01 1.383999999999999897e+00 5.825000000000000100e-04 2.579853383440107706e+01
1.173000000000000084e-02 2.660000000000000142e+01 1.330000000000000071e+00 5.936999999999999569e-04 2.460300135676606104e+01
1.199000000000000066e-02 2.585000000000000142e+01 1.254999999999999893e+00 6.049000000000000123e-04 2.346895454664845815e+01
1.225000000000000047e-02 2.614999999999999858e+01 1.272999999999999909e+00 6.162000000000000159e-04 2.242268947196594908e+01
1.251000000000000029e-02 2.248000000000000043e+01 1.189000000000000057e+00 6.275000000000000196e-04 2.150748966834775189e+01
1.276000000000000051e-02 2.316000000000000014e+01 1.179000000000000048e+00 6.388000000000000232e-04 2.065111857745370827e+01
1.302000000000000032e-02 2.019000000000000128e+01 1.032999999999999918e+00 6.501999999999999750e-04 1.983425734738267820e+01
1.328000000000000014e-02 1.846999999999999886e+01 1.000000000000000000e+00 6.616000000000000353e-04 1.909899569625638804e+01
1.353999999999999995e-02 1.939000000000000057e+01 1.032999999999999918e+00 6.729999999999999871e-04 1.840877704532937997e+01
1.370999999999999996e-02 1.764999999999999858e+01 2.479999999999999982e-01 1.232000000000000022e-03 1.831672669714239987e+01
1.379000000000000017e-02 1.828000000000000114e+01 1.044999999999999929e+00 6.844999999999999956e-04 1.779445560906849622e+01
1.396000000000000019e-02 1.764000000000000057e+01 1.973999999999999921e-01 2.204999999999999929e-03 1.860754427158978430e+01
1.404999999999999999e-02 1.785999999999999943e+01 9.897000000000000242e-01 6.958999999999999474e-04 1.720997923653728989e+01
1.412000000000000061e-02 1.637999999999999901e+01 2.225999999999999923e-01 1.242000000000000048e-03 1.728620303684689219e+01
1.430999999999999980e-02 1.623000000000000043e+01 9.333000000000000185e-01 7.073999999999999559e-04 1.664451195031770325e+01
1.452999999999999951e-02 1.586999999999999922e+01 2.159999999999999976e-01 1.252000000000000075e-03 1.638460033862846998e+01
1.456999999999999962e-02 1.632999999999999829e+01 9.747999999999999998e-01 7.188999999999999644e-04 1.610571018138868382e+01
1.482999999999999943e-02 1.564000000000000057e+01 9.244999999999999885e-01 7.303999999999999729e-04 1.561634208277348534e+01
1.494000000000000015e-02 1.432000000000000028e+01 1.976999999999999869e-01 1.262000000000000101e-03 1.552453304914991605e+01
1.528999999999999977e-02 1.483000000000000007e+01 1.370999999999999996e-01 2.222000000000000017e-03 1.542653226910763919e+01
