Model 0x10ab8d1e0
  size 202 out of 214
  interface=0x10ab8d280
  repeats=0 at 0x10ab8d214
  # d(0x7fd8af008f60) rho(0x7fd8af0088b0) mu(0x7fd8af008200) rough(0x7fd8af009610)
  0 0 2.07e-06 0 3
  1 0.5 2.07e-06 0 0
  2 0.5 2.07e-06 0 0
  3 0.5 2.07e-06 0 0
  4 0.5 2.07e-06 0 0
  5 0.5 2.07e-06 0 0
  6 0.5 2.07e-06 0 0
  7 0.5 2.07e-06 0 0
  8 0.5 2.07e-06 0 0
  9 0.5 2.07e-06 0 0
  10 0.5 2.07e-06 0 0
  11 0.5 2.07e-06 0 0
  12 0.5 2.07e-06 0 0
  13 0.5 2.07e-06 0 0
  14 0.5 2.07001e-06 0 0
  15 0.5 2.07001e-06 0 0
  16 0.5 2.07002e-06 0 0
  17 0.5 2.07005e-06 0 0
  18 0.5 2.07009e-06 0 0
  19 0.5 2.07018e-06 0 0
  20 0.5 2.06875e-06 0 0
  21 0.5 2.06975e-06 0 0
  22 0.5 2.07066e-06 0 0
  23 0.5 2.07174e-06 0 0
  24 0.5 2.07328e-06 0 0
  25 0.5 2.0756e-06 0 0
  26 0.5 2.07916e-06 0 0
  27 0.5 2.08451e-06 0 0
  28 0.5 2.09239e-06 0 0
  29 0.5 2.10367e-06 0 0
  30 0.5 2.1194e-06 0 0
  31 0.5 2.14073e-06 0 0
  32 0.5 2.16887e-06 0 0
  33 0.5 2.20499e-06 0 0
  34 0.5 2.25008e-06 0 0
  35 0.5 2.30481e-06 0 0
  36 0.5 2.36945e-06 0 0
  37 0.5 2.44369e-06 0 0
  38 0.5 2.52664e-06 0 0
  39 0.5 2.61677e-06 0 0
  40 0.5 2.71205e-06 0 0
  41 0.5 2.81e-06 0 0
  42 0.5 2.90795e-06 0 0
  43 0.5 3.00323e-06 0 0
  44 0.5 3.09336e-06 0 0
  45 0.5 3.17631e-06 0 0
  46 0.5 3.25055e-06 0 0
  47 0.5 3.31519e-06 0 0
  48 0.5 3.36992e-06 0 0
  49 0.5 3.415e-06 0 0
  50 0.5 3.45111e-06 0 0
  51 0.5 3.47924e-06 0 0
  52 0.5 3.50055e-06 0 0
  53 0.5 3.51622e-06 0 0
  54 0.5 3.52738e-06 0 0
  55 0.5 3.53504e-06 0 0
  56 0.5 3.53998e-06 0 0
  57 0.5 3.54281e-06 0 0
  58 0.5 3.54385e-06 0 0
  59 0.5 3.54321e-06 0 0
  60 0.5 3.54068e-06 0 0
  61 0.5 3.53577e-06 0 0
  62 0.5 3.52761e-06 0 0
  63 0.5 3.51497e-06 0 0
  64 0.5 3.49619e-06 0 0
  65 0.5 3.46918e-06 0 0
  66 0.5 3.43148e-06 0 0
  67 0.5 3.38032e-06 0 0
  68 0.5 3.31284e-06 0 0
  69 0.5 3.22629e-06 0 0
  70 0.5 3.11836e-06 0 0
  71 0.5 2.98755e-06 0 0
  72 0.5 2.83348e-06 0 0
  73 0.5 2.65725e-06 0 0
  74 0.5 2.46157e-06 0 0
  75 0.5 2.25089e-06 0 0
  76 0.5 2.03116e-06 0 0
  77 0.5 1.80955e-06 0 0
  78 0.5 1.59387e-06 0 0
  79 0.5 1.39192e-06 0 0
  80 0.5 1.2108e-06 0 0
  81 0.5 1.05619e-06 0 0
  82 0.5 9.3188e-07 0 0
  83 0.5 8.39444e-07 0 0
  84 0.5 7.78227e-07 0 0
  85 0.5 7.45585e-07 0 0
  86 0.5 7.37332e-07 0 0
  87 0.5 7.48301e-07 0 0
  88 0.5 7.72899e-07 0 0
  89 0.5 8.05573e-07 0 0
  90 0.5 8.4111e-07 0 0
  91 0.5 8.74792e-07 0 0
  92 0.5 9.02411e-07 0 0
  93 0.5 9.20256e-07 0 0
  94 0.5 9.25115e-07 0 0
