#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                  10                    0     4.99990892386021                    0
                 0.5                    0     4.99990892386021                    0
                 0.5                    0     4.99990892386021                    0
                 0.5                    0     4.99990892386021                    0
                 0.5                    0     4.99990892386021                    0
                 0.5                    0     4.99990892386021                    0
                 0.5                    0     4.99990892386021                    0
                 0.5                    0     4.99990892386021                    0
                 0.5                    0     4.99715553891002                    0
                 0.5                    0     4.99573923170317                    0
                 0.5                    0     4.99369417514938                    0
                 0.5                    0     4.99079161507799                    0
                 0.5                    0     4.98674219020534                    0
                 0.5                    0     4.98118888592015                    0
                 0.5                    0     4.97370258578174                    0
                 0.5                    0     4.96378160575289                    0
                 0.5                    0      4.9508566148591                    0
                 0.5                    0     4.93430217483971                    0
                 0.5                    0     4.91345573199635                    0
                 0.5                    0     4.88764425525552                    0
                 0.5                    0      4.8562178612005                    0
                 0.5                    0     4.81858876849593                    0
                 0.5                    0     4.77427289171081                    0
                 0.5                    0     4.72293046111575                    0
                 0.5                    0     4.66440139747346                    0
                 0.5                    0     4.59873092551038                    0
                 0.5                    0     4.52618118611237                    0
                 0.5                    0     4.44722545468787                    0
                 0.5                    0      4.3625229657244                    0
                 0.5                    0      4.2728741767757                    0
                 0.5                    0     4.17915840498362                    0
                 0.5                    0     4.08225791271536                    0
                 0.5                    0     3.98297446126848                    0
                 0.5                    0     3.88194585580511                    0
                 0.5                    0     3.77957086776128                    0
                 0.5                    0     3.67595099456734                    0
                 0.5                    0     3.57085672061655                    0
                 0.5                    0     3.46372427478038                    0
                 0.5                    0     3.35368641686107                    0
                 0.5                    0     3.23963769123816                    0
                 0.5                    0     3.12033110800263                    0
                 0.5                    0     2.99449967516366                    0
                 0.5                    0     2.86099299480248                    0
                 0.5                    0     2.71891666211304                    0
                 0.5                    0     2.56776085573434                    0
                 0.5                    0     2.40750458072139                    0
                 0.5                    0     2.23868367109166                    0
                 0.5                    0     2.06241382356155                    0
                 0.5                    0     1.88036433759968                    0
                 0.5                    0     1.69468338776008                    0
                 0.5                    0     1.50788090818601                    0
                 0.5                    0     1.32267982423744                    0
                 0.5                    0     1.14184977776663                    0
                 0.5                    0    0.968039185508403                    0
                 0.5                    0     0.80362122401364                    0
                 0.5                    0    0.650567223463113                    0
                 0.5                    0    0.510357329470858                    0
                 0.5                    0    0.383933721764312                    0
                 0.5                    0    0.271696835281622                    0
                 0.5                    0    0.173540577427537                    0
                 0.5                    0    0.088919022413195                    0
                 0.5                    0    0.016934842309991                    0
                 0.5                    0  -0.0435610726807065                    0
                 0.5                    0  -0.0938688427300285                    0
                 0.5                    0   -0.135346158257868                    0
                 0.5                    0   -0.169328426525934                    0
                 0.5                    0   -0.197066262113415                    0
                 0.5                    0   -0.219681669957883                    0
                 0.5                    0   -0.238142223611104                    0
                 0.5                    0   -0.253251019745341                    0
                 0.5                    0   -0.265649244582886                    0
                 0.5                    0   -0.275827779405149                    0
                 0.5                    0   -0.284144299533042                    0
                 0.5                    0    -0.29084265382772                    0
                 0.5                    0   -0.296071819324039                    0
                 0.5                    0   -0.299902299007498                    0
                 0.5                    0   -0.302338394932629                    0
                 0.5                    0   -0.303325306665813                    0
                 0.5                    0   -0.302750473669984                    0
                 0.5                    0   -0.300439022748598                    0
                 0.5                    0   -0.296143634813058                    0
                 0.5                    0   -0.289529645934132                    0
                 0.5                    0   -0.280156769096511                    0
                 0.5                    0   -0.267459462330431                    0
                 0.5                    0   -0.250728637370625                    0
                 0.5                    0   -0.229098022188885                    0
                 0.5                    0   -0.201538945183387                    0
                 0.5                    0   -0.166867457999785                    0
                 0.5                    0   -0.123767413991356                    0
                 0.5                    0  -0.0708322526856725                    0
                 0.5                    0 -0.00662675044290211                    0
                 0.5                    0   0.0702320801367912                    0
                 0.5                    0     0.16097827312728                    0
                 0.5                    0    0.266590384164601                    0
                 0.5                    0    0.387683639885974                    0
                 0.5                    0    0.524411087841507                    0
                 0.5                    0    0.676384877815423                    0
                 0.5                    0    0.842628258954486                    0
                 0.5                    0     1.02156683806257                    0
                 0.5                    0     1.21106419968599                    0
                 0.5                    0     1.40850247114819                    0
                 0.5                    0     1.61090337641895                    0
                 0.5                    0     1.81508045567893                    0
                 0.5                    0     2.01780915914241                    0
                 0.5                    0     2.21599908644754                    0
                 0.5                    0      2.4068521576468                    0
                 0.5                    0     2.58799209492904                    0
                 0.5                    0     2.75755406675845                    0
                 0.5                    0     2.91422820285226                    0
                 0.5                    0     3.05725622104509                    0
                 0.5                    0     3.18638581519916                    0
                 0.5                    0     3.30179197875231                    0
                 0.5                    0     3.40397748731369                    0
                 0.5                    0      3.4936659940187                    0
                 0.5                    0     3.57170055335968                    0
                 0.5                    0     3.63895811423357                    0
                 0.5                    0     3.69628706755835                    0
                 0.5                    0     3.74447089256461                    0
                 0.5                    0     3.78421694978786                    0
                 0.5                    0     3.81616608687297                    0
                 0.5                    0     3.84091638195581                    0
                 0.5                    0     3.85905328019783                    0
                 0.5                    0     3.87117860043234                    0
                 0.5                    0     3.87793222170973                    0
                 0.5                    0     3.88000237215565                    0
                 0.5                    0     3.87812291644536                    0
                 0.5                    0     3.87305844257419                    0
                 0.5                    0     3.86557991132729                    0
                 0.5                    0     3.85643489468569                    0
                 0.5                    0     3.84631687895556                    0
                 0.5                    0     3.83583777885576                    0
                 0.5                    0     3.82550685820153                    0
                 0.5                    0     3.81571791990675                    0
                 0.5                    0      3.8067451798878                    0
                 0.5                    0     3.79874692149987                    0
