#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   4.99990892   0.00000000
 10.00000000   4.99990892   0.00000000
 10.00000000   4.99990892   0.00000000
 10.50000000   4.99990892   0.00000000
 10.50000000   4.99990892   0.00000000
 11.00000000   4.99990892   0.00000000
 11.00000000   4.99990892   0.00000000
 11.50000000   4.99990892   0.00000000
 11.50000000   4.99990892   0.00000000
 12.00000000   4.99990892   0.00000000
 12.00000000   4.99990892   0.00000000
 12.50000000   4.99990892   0.00000000
 12.50000000   4.99990892   0.00000000
 13.00000000   4.99990892   0.00000000
 13.00000000   4.99990892   0.00000000
 13.50000000   4.99990892   0.00000000
 13.50000000   4.99715554   0.00000000
 14.00000000   4.99715554   0.00000000
 14.00000000   4.99573923   0.00000000
 14.50000000   4.99573923   0.00000000
 14.50000000   4.99369418   0.00000000
 15.00000000   4.99369418   0.00000000
 15.00000000   4.99079162   0.00000000
 15.50000000   4.99079162   0.00000000
 15.50000000   4.98674219   0.00000000
 16.00000000   4.98674219   0.00000000
 16.00000000   4.98118889   0.00000000
 16.50000000   4.98118889   0.00000000
 16.50000000   4.97370259   0.00000000
 17.00000000   4.97370259   0.00000000
 17.00000000   4.96378161   0.00000000
 17.50000000   4.96378161   0.00000000
 17.50000000   4.95085661   0.00000000
 18.00000000   4.95085661   0.00000000
 18.00000000   4.93430217   0.00000000
 18.50000000   4.93430217   0.00000000
 18.50000000   4.91345573   0.00000000
 19.00000000   4.91345573   0.00000000
 19.00000000   4.88764426   0.00000000
 19.50000000   4.88764426   0.00000000
 19.50000000   4.85621786   0.00000000
 20.00000000   4.85621786   0.00000000
 20.00000000   4.81858877   0.00000000
 20.50000000   4.81858877   0.00000000
 20.50000000   4.77427289   0.00000000
 21.00000000   4.77427289   0.00000000
 21.00000000   4.72293046   0.00000000
 21.50000000   4.72293046   0.00000000
 21.50000000   4.66440140   0.00000000
 22.00000000   4.66440140   0.00000000
 22.00000000   4.59873093   0.00000000
 22.50000000   4.59873093   0.00000000
 22.50000000   4.52618119   0.00000000
