Q R dR
0.00877296 0.9966845143068384 0.00341619316230388
0.0100889 0.9983445847849041 0.0029669290419576254
0.0114048 1.0012135980884973 0.002620911385316479
0.0127208 0.9705959626329883 0.002311209828566246
0.0140367 0.24335759636381296 0.001049794186605747
0.0153526 0.09577663373975455 0.0006013251373315152
0.0166685 0.051747627302279865 0.0004040880308591605
0.0179845 0.03125704510697582 0.0002908330480709343
0.0193004 0.020026260834859026 0.0002182984535194335
0.0206163 0.013931931774245954 0.00016887350459231327
0.0219322 0.00989724127040772 0.00013388510735316662
0.0241253 0.006270038205516777 9.483976170554551e-05
0.0263185 0.003947260160124619 7.001373889870194e-05
0.0285116 0.0027394297034964467 5.3643943802069776e-05
0.0307047 0.002037217404712342 4.2479453669658776e-05
0.0328977 0.0015762382854103024 3.4650678212940996e-05
0.0350908 0.0013187594528530696 2.9020914605839913e-05
0.0372838 0.0010268295425000088 2.487190833692114e-05
0.0394768 0.0008895690518032678 2.1735643638121107e-05
0.0416698 0.0008379303697672255 1.9301918821989352e-05
0.0438627 0.0007630852932470338 1.7365880994867913e-05
0.0473713 0.0006856515953338152 1.495862516201142e-05
0.0508798 0.000613023882961229 1.3103588691692651e-05
0.0543882 0.0005652544522890093 1.1605719763175359e-05
0.0578966 0.000512336167664378 1.0350160807478155e-05
0.0614048 0.00048371312629686965 9.26932266887836e-06
0.0649128 0.0004631036195666959 8.321595440584045e-06
0.0684208 0.0004135313403347671 7.480136618629535e-06
0.0719286 0.0003911305714364639 6.7268689823763175e-06
0.0754363 0.00036128716120125277 6.048877336076624e-06
0.0789438 0.00032114191881360863 5.436522688126103e-06
0.0824512 0.0002953815559376555 4.882270092201727e-06
0.0859585 0.00026845945083884117 4.379766654947037e-06
0.087712 0.0002548825691304625 4.1465519066277396e-06
0.091219 0.0002241597928019417 3.7132410789294527e-06
0.0947258 0.0002038629762924974 3.3202837837329532e-06
0.0982324 0.0001761447479903178 2.9643237386481535e-06
0.101739 0.00015516702047769444 2.6421515387681327e-06
0.105245 0.00013855571462933743 2.350948707493707e-06
0.108751 0.00012409036391058985 2.08805948206766e-06
0.112257 0.00010295131901551767 1.8511217419284721e-06
0.115762 9.219715368059783e-05 1.6380299069256072e-06
0.119268 7.366973101828722e-05 1.4466799794017369e-06
0.122773 6.437811893146445e-05 1.2753590251737244e-06
0.126278 5.274492646223127e-05 1.1223358787714115e-06
0.129782 4.30031064308708e-05 9.861056007241733e-07
0.133287 3.632275106411498e-05 8.651707388766297e-07
0.136791 3.09310790001305e-05 7.58288916298559e-07
0.140295 2.4391513499499948e-05 6.642169936022413e-07
0.143798 1.8783694256033663e-05 5.818598560992273e-07
0.147302 1.4531236992525373e-05 5.101331921521679e-07
0.150805 1.1515813814647469e-05 4.4799216930024534e-07
0.153432 8.620385017556207e-06 4.0740406962413294e-07
0.15781 7.38694565794992e-06 3.4981255233092987e-07
0.162187 5.4181972545676845e-06 3.02981733381291e-07
0.166564 3.89535814205755e-06 2.656287891430609e-07
0.170941 2.3393281187055284e-06 2.362211873386056e-07
0.175317 1.4051058918653102e-06 2.1328554500916861e-07
0.179693 7.558640323332582e-07 1.9543678886768023e-07
0.184068 6.425080069475706e-07 1.814533036758202e-07
0.188442 3.9928998872241686e-08 1.7030817006701569e-07
0.192816 3.1307227950609604e-07 1.6119090289018225e-07
0.197189 -2.7530647571669964e-07 1.5350364606138888e-07
0.201562 4.594708495534549e-07 1.468225384240762e-07
0.205934 5.0045778565359075e-08 1.4086634246488332e-07
0.210305 -2.0322970086491123e-08 1.3545342770514223e-07
0.214676 -4.1007084949821115e-08 1.3046991143068467e-07
0.219046 -1.4869963591123682e-08 1.258477740718834e-07
0.223416 2.5281410457128936e-08 1.2154197031201392e-07
0.227785 2.1253051234898135e-07 1.1752238400527462e-07
0.232153 8.125129731161898e-08 1.1376313579356735e-07
0.23652 -5.860097221156142e-09 1.1023957674286322e-07
0.240887 1.6113554795907647e-07 1.0692592187610766e-07
0.245253 3.3648626156910043e-07 1.0379729211227802e-07
0.249618 8.05097374230365e-08 1.008280994724835e-07
0.253982 4.3452904997883864e-07 9.797636339237567e-08
0.258346 1.1539106533362113e-07 9.51168066123991e-08
