Model 0x1098b71e0
  size 202 out of 214
  interface=0x1098b7280
  repeats=0 at 0x1098b7214
  # d(0x7fa05180af60) rho(0x7fa05180a8b0) mu(0x7fa05180a200) rough(0x7fa05180b610)
  0 0 2.07e-06 0 3
  1 0.5 2.07e-06 0 0
  2 0.5 2.07e-06 0 0
  3 0.5 2.07e-06 0 0
  4 0.5 2.07e-06 0 0
  5 0.5 2.07e-06 0 0
  6 0.5 2.07e-06 0 0
  7 0.5 2.07e-06 0 0
  8 0.5 2.07e-06 0 0
  9 0.5 2.07e-06 0 0
  10 0.5 2.07e-06 0 0
  11 0.5 2.07e-06 0 0
  12 0.5 2.07e-06 0 0
  13 0.5 2.07e-06 0 0
  14 0.5 2.07001e-06 0 0
  15 0.5 2.07001e-06 0 0
  16 0.5 2.07002e-06 0 0
  17 0.5 2.07005e-06 0 0
  18 0.5 2.07009e-06 0 0
  19 0.5 2.07018e-06 0 0
  20 0.5 2.07337e-06 0 0
  21 0.5 2.07232e-06 0 0
  22 0.5 2.07206e-06 0 0
  23 0.5 2.07248e-06 0 0
  24 0.5 2.07366e-06 0 0
  25 0.5 2.07579e-06 0 0
  26 0.5 2.07925e-06 0 0
  27 0.5 2.08456e-06 0 0
  28 0.5 2.09241e-06 0 0
  29 0.5 2.10368e-06 0 0
  30 0.5 2.1194e-06 0 0
  31 0.5 2.14073e-06 0 0
  32 0.5 2.16888e-06 0 0
  33 0.5 2.20499e-06 0 0
  34 0.5 2.25008e-06 0 0
  35 0.5 2.30481e-06 0 0
  36 0.5 2.36945e-06 0 0
  37 0.5 2.44369e-06 0 0
  38 0.5 2.52664e-06 0 0
  39 0.5 2.61677e-06 0 0
  40 0.5 2.71205e-06 0 0
  41 0.5 2.81e-06 0 0
  42 0.5 2.90795e-06 0 0
  43 0.5 3.00323e-06 0 0
  44 0.5 3.09336e-06 0 0
  45 0.5 3.17631e-06 0 0
  46 0.5 3.25055e-06 0 0
  47 0.5 3.31519e-06 0 0
  48 0.5 3.36993e-06 0 0
  49 0.5 3.41501e-06 0 0
  50 0.5 3.45113e-06 0 0
  51 0.5 3.47929e-06 0 0
  52 0.5 3.50064e-06 0 0
  53 0.5 3.51641e-06 0 0
  54 0.5 3.52776e-06 0 0
  55 0.5 3.53577e-06 0 0
  56 0.5 3.54138e-06 0 0
  57 0.5 3.54538e-06 0 0
  58 0.5 3.54848e-06 0 0
  59 0.5 3.55131e-06 0 0
  60 0.5 3.55449e-06 0 0
  61 0.5 3.55873e-06 0 0
  62 0.5 3.56482e-06 0 0
  63 0.5 3.57374e-06 0 0
  64 0.5 3.58671e-06 0 0
  65 0.5 3.60512e-06 0 0
  66 0.5 3.63058e-06 0 0
  67 0.5 3.66478e-06 0 0
  68 0.5 3.70933e-06 0 0
  69 0.5 3.76553e-06 0 0
  70 0.5 3.83413e-06 0 0
  71 0.5 3.91497e-06 0 0
  72 0.5 4.0068e-06 0 0
  73 0.5 4.10703e-06 0 0
  74 0.5 4.21177e-06 0 0
  75 0.5 4.316e-06 0 0
  76 0.5 4.41396e-06 0 0
  77 0.5 4.49976e-06 0 0
  78 0.5 4.56805e-06 0 0
  79 0.5 4.61467e-06 0 0
  80 0.5 4.63725e-06 0 0
  81 0.5 4.63538e-06 0 0
  82 0.5 4.61069e-06 0 0
  83 0.5 4.56642e-06 0 0
  84 0.5 4.50693e-06 0 0
  85 0.5 4.43698e-06 0 0
  86 0.5 4.36115e-06 0 0
  87 0.5 4.28328e-06 0 0
  88 0.5 4.20605e-06 0 0
  89 0.5 4.13076e-06 0 0
  90 0.5 4.05712e-06 0 0
  91 0.5 3.98314e-06 0 0
  92 0.5 3.90507e-06 0 0
  93 0.5 3.81757e-06 0 0
  94 0.5 3.71405e-06 0 0
  95 0.5 3.58738e-06 0 0
  96 0.5 3.43093e-06 0 0
  97 0.5 3.23977e-06 0 0
  98 0.5 3.01193e-06 0 0
  99 0.5 2.74919e-06 0 0
  100 0.5 2.45743e-06 0 0
  101 0.5 2.14622e-06 0 0
  102 0.5 1.82768e-06 0 0
  103 0.5 1.51495e-06 0 0
  104 0.5 1.2204e-06 0 0
  105 0.5 9.54166e-07 0 0
  106 0.5 7.2308e-07 0 0
  107 0.5 5.30281e-07 0 0
  108 0.5 3.75437e-07 0 0
  109 0.5 2.5545e-07 0 0
  110 0.5 1.65399e-07 0 0
  111 0.5 9.95316e-08 0 0
  112 0.5 5.20902e-08 0 0
  113 0.5 1.79058e-08 0 0
  114 0.5 -7.27695e-09 0 0
  115 0.5 -2.6701e-08 0 0
  116 0.5 -4.26575e-08 0 0
  117 0.5 -5.66356e-08 0 0
  118 0.5 -6.95027e-08 0 0
  119 0.5 -8.16768e-08 0 0
  120 0.5 -9.32712e-08 0 0
  121 0.5 -1.04206e-07 0 0
  122 0.5 -1.1429e-07 0 0
  123 0.5 -1.23279e-07 0 0
  124 0.5 -1.30915e-07 0 0
  125 0.5 -1.36959e-07 0 0
