Model 0x1009521e0
  size 202 out of 214
  interface=0x100952280
  repeats=0 at 0x100952214
  # d(0x7ff10c808f60) rho(0x7ff10c8088b0) mu(0x7ff10c808200) rough(0x7ff10c809610)
  0 0 2.07e-06 0 3
  1 0.5 2.07e-06 0 0
  2 0.5 2.07e-06 0 0
  3 0.5 2.07e-06 0 0
  4 0.5 2.07e-06 0 0
  5 0.5 2.07e-06 0 0
  6 0.5 2.07e-06 0 0
  7 0.5 2.07e-06 0 0
  8 0.5 2.07e-06 0 0
  9 0.5 2.07e-06 0 0
  10 0.5 2.07e-06 0 0
  11 0.5 2.07e-06 0 0
  12 0.5 2.07e-06 0 0
  13 0.5 2.07e-06 0 0
  14 0.5 2.07001e-06 0 0
  15 0.5 2.07001e-06 0 0
  16 0.5 2.07002e-06 0 0
  17 0.5 2.07005e-06 0 0
  18 0.5 2.07009e-06 0 0
  19 0.5 2.07018e-06 0 0
  20 0.5 2.06952e-06 0 0
  21 0.5 2.07018e-06 0 0
  22 0.5 2.07089e-06 0 0
  23 0.5 2.07187e-06 0 0
  24 0.5 2.07334e-06 0 0
  25 0.5 2.07564e-06 0 0
  26 0.5 2.07917e-06 0 0
  27 0.5 2.08452e-06 0 0
  28 0.5 2.09239e-06 0 0
  29 0.5 2.10367e-06 0 0
  30 0.5 2.1194e-06 0 0
  31 0.5 2.14073e-06 0 0
  32 0.5 2.16887e-06 0 0
  33 0.5 2.20499e-06 0 0
  34 0.5 2.25008e-06 0 0
  35 0.5 2.30481e-06 0 0
  36 0.5 2.36945e-06 0 0
  37 0.5 2.44369e-06 0 0
  38 0.5 2.52664e-06 0 0
  39 0.5 2.61677e-06 0 0
  40 0.5 2.71205e-06 0 0
  41 0.5 2.81e-06 0 0
  42 0.5 2.90795e-06 0 0
  43 0.5 3.00323e-06 0 0
  44 0.5 3.09336e-06 0 0
  45 0.5 3.17631e-06 0 0
  46 0.5 3.25055e-06 0 0
  47 0.5 3.31519e-06 0 0
  48 0.5 3.36992e-06 0 0
  49 0.5 3.415e-06 0 0
  50 0.5 3.45112e-06 0 0
  51 0.5 3.47925e-06 0 0
  52 0.5 3.50056e-06 0 0
  53 0.5 3.51625e-06 0 0
  54 0.5 3.52745e-06 0 0
