Model 0x104f381e0
  size 202 out of 214
  interface=0x104f38280
  repeats=0 at 0x104f38214
  # d(0x7fe74880af60) rho(0x7fe74880a8b0) mu(0x7fe74880a200) rough(0x7fe74880b610)
  0 0 2.07e-06 0 3
  1 0.5 2.07e-06 0 0
  2 0.5 2.07e-06 0 0
  3 0.5 2.07e-06 0 0
  4 0.5 2.07e-06 0 0
  5 0.5 2.07e-06 0 0
  6 0.5 2.07e-06 0 0
  7 0.5 2.07e-06 0 0
  8 0.5 2.07e-06 0 0
  9 0.5 2.07e-06 0 0
  10 0.5 2.07e-06 0 0
  11 0.5 2.07e-06 0 0
  12 0.5 2.07e-06 0 0
  13 0.5 2.07e-06 0 0
  14 0.5 2.07001e-06 0 0
  15 0.5 2.07001e-06 0 0
  16 0.5 2.07002e-06 0 0
  17 0.5 2.07005e-06 0 0
  18 0.5 2.07009e-06 0 0
  19 0.5 2.07018e-06 0 0
  20 0.5 2.07145e-06 0 0
  21 0.5 2.07125e-06 0 0
  22 0.5 2.07147e-06 0 0
  23 0.5 2.07217e-06 0 0
  24 0.5 2.0735e-06 0 0
  25 0.5 2.07571e-06 0 0
  26 0.5 2.07921e-06 0 0
  27 0.5 2.08454e-06 0 0
  28 0.5 2.0924e-06 0 0
  29 0.5 2.10367e-06 0 0
  30 0.5 2.1194e-06 0 0
  31 0.5 2.14073e-06 0 0
  32 0.5 2.16887e-06 0 0
  33 0.5 2.20499e-06 0 0
  34 0.5 2.25008e-06 0 0
  35 0.5 2.30481e-06 0 0
  36 0.5 2.36945e-06 0 0
  37 0.5 2.44369e-06 0 0
  38 0.5 2.52664e-06 0 0
  39 0.5 2.61677e-06 0 0
  40 0.5 2.71205e-06 0 0
  41 0.5 2.81e-06 0 0
  42 0.5 2.90795e-06 0 0
  43 0.5 3.00323e-06 0 0
  44 0.5 3.09336e-06 0 0
  45 0.5 3.17631e-06 0 0
  46 0.5 3.25055e-06 0 0
  47 0.5 3.31519e-06 0 0
  48 0.5 3.36992e-06 0 0
  49 0.5 3.41501e-06 0 0
  50 0.5 3.45113e-06 0 0
  51 0.5 3.47927e-06 0 0
  52 0.5 3.5006e-06 0 0
  53 0.5 3.51633e-06 0 0
  54 0.5 3.5276e-06 0 0
  55 0.5 3.53547e-06 0 0
  56 0.5 3.5408e-06 0 0
  57 0.5 3.54431e-06 0 0
  58 0.5 3.54655e-06 0 0
  59 0.5 3.54793e-06 0 0
  60 0.5 3.54874e-06 0 0
  61 0.5 3.54916e-06 0 0
  62 0.5 3.54931e-06 0 0
  63 0.5 3.54925e-06 0 0
  64 0.5 3.54899e-06 0 0
  65 0.5 3.54848e-06 0 0
  66 0.5 3.54762e-06 0 0
  67 0.5 3.54626e-06 0 0
  68 0.5 3.54413e-06 0 0
  69 0.5 3.54085e-06 0 0
  70 0.5 3.53589e-06 0 0
  71 0.5 3.52855e-06 0 0
  72 0.5 3.51792e-06 0 0
  73 0.5 3.50295e-06 0 0
  74 0.5 3.48252e-06 0 0
  75 0.5 3.45554e-06 0 0
  76 0.5 3.42113e-06 0 0
  77 0.5 3.37884e-06 0 0
  78 0.5 3.32881e-06 0 0
  79 0.5 3.27186e-06 0 0
  80 0.5 3.20956e-06 0 0
  81 0.5 3.14405e-06 0 0
  82 0.5 3.07785e-06 0 0
  83 0.5 3.01352e-06 0 0
  84 0.5 2.9533e-06 0 0
  85 0.5 2.8989e-06 0 0
  86 0.5 2.85123e-06 0 0
  87 0.5 2.81037e-06 0 0
  88 0.5 2.77557e-06 0 0
  89 0.5 2.74527e-06 0 0
  90 0.5 2.71712e-06 0 0
  91 0.5 2.68799e-06 0 0
  92 0.5 2.65396e-06 0 0
  93 0.5 2.61036e-06 0 0
  94 0.5 2.552e-06 0 0
  95 0.5 2.47363e-06 0 0
  96 0.5 2.37062e-06 0 0
  97 0.5 2.23976e-06 0 0
  98 0.5 2.08007e-06 0 0
  99 0.5 1.89336e-06 0 0
  100 0.5 1.68436e-06 0 0
  101 0.5 1.4604e-06 0 0
  102 0.5 1.23059e-06 0 0
  103 0.5 1.00463e-06 0 0
  104 0.5 7.91615e-07 0 0
  105 0.5 5.98917e-07 0 0
  106 0.5 4.3148e-07 0 0
  107 0.5 2.91551e-07 0 0
  108 0.5 1.78855e-07 0 0
  109 0.5 9.11182e-08 0 0
  110 0.5 2.47579e-08 0 0
  111 0.5 -2.44018e-08 0 0
  112 0.5 -6.0528e-08 0 0
  113 0.5 -8.73531e-08 0 0
  114 0.5 -1.07939e-07 0 0
  115 0.5 -1.24604e-07 0 0
  116 0.5 -1.38971e-07 0 0
  117 0.5 -1.52068e-07 0 0
  118 0.5 -1.64467e-07 0 0
  119 0.5 -1.76402e-07 0 0
  120 0.5 -1.87879e-07 0 0
  121 0.5 -1.98758e-07 0 0
  122 0.5 -2.08817e-07 0 0
  123 0.5 -2.17795e-07 0 0
  124 0.5 -2.25426e-07 0 0
  125 0.5 -2.31468e-07 0 0
  126 0.5 -2.35719e-07 0 0
  127 0.5 -2.38031e-07 0 0
  128 0.5 -2.38324e-07 0 0
  129 0.5 -2.36588e-07 0 0
  130 0.5 -2.32884e-07 0 0
  131 0.5 -2.27342e-07 0 0
  132 0.5 -2.20151e-07 0 0
  133 0.5 -2.11549e-07 0 0
  134 0.5 -2.01806e-07 0 0
  135 0.5 -1.91209e-07 0 0
  136 0.5 -1.80032e-07 0 0
  137 0.5 -1.68517e-07 0 0
  138 0.5 -1.56827e-07 0 0
  139 0.5 -1.45001e-07 0 0
  140 0.5 -1.32887e-07 0 0
  141 0.5 -1.20045e-07 0 0
  142 0.5 -1.05639e-07 0 0
  143 0.5 -8.83123e-08 0 0
  144 0.5 -6.60625e-08 0 0
  145 0.5 -3.61689e-08 0 0
  146 0.5 4.79925e-09 0 0
  147 0.5 6.08307e-08 0 0
  148 0.5 1.36142e-07 0 0
  149 0.5 2.34659e-07 0 0
  150 0.5 3.59347e-07 0 0
  151 0.5 5.115e-07 0 0
  152 0.5 6.90116e-07 0 0
  153 0.5 8.91547e-07 0 0
  154 0.5 1.10954e-06 0 0
  155 0.5 1.33575e-06 0 0
  156 0.5 1.56066e-06 0 0
  157 0.5 1.77479e-06 0 0
  158 0.5 1.96992e-06 0 0
  159 0.5 2.14006e-06 0 0
  160 0.5 2.28207e-06 0 0
  161 0.5 2.39572e-06 0 0
  162 0.5 2.48331e-06 0 0
  163 0.5 2.54894e-06 0 0
  164 0.5 2.59768e-06 0 0
  165 0.5 2.63481e-06 0 0
  166 0.5 2.66528e-06 0 0
  167 0.5 2.69334e-06 0 0
  168 0.5 2.72248e-06 0 0
  169 0.5 2.75537e-06 0 0
  170 0.5 2.79389e-06 0 0
  171 0.5 2.83915e-06 0 0
  172 0.5 2.8914e-06 0 0
