Model 0x102c631e0
  size 202 out of 214
  interface=0x102c63280
  repeats=0 at 0x102c63214
  # d(0x7f891c00a960) rho(0x7f891c00a2b0) mu(0x7f891c009c00) rough(0x7f891c00b010)
  0 0 2.07e-06 0 3
  1 0.5 2.07e-06 0 0
  2 0.5 2.07e-06 0 0
  3 0.5 2.07e-06 0 0
  4 0.5 2.07e-06 0 0
  5 0.5 2.07e-06 0 0
  6 0.5 2.07e-06 0 0
  7 0.5 2.07e-06 0 0
  8 0.5 2.07e-06 0 0
  9 0.5 2.07e-06 0 0
  10 0.5 2.07e-06 0 0
  11 0.5 2.07e-06 0 0
  12 0.5 2.07e-06 0 0
  13 0.5 2.07e-06 0 0
  14 0.5 2.07001e-06 0 0
  15 0.5 2.07001e-06 0 0
  16 0.5 2.07002e-06 0 0
  17 0.5 2.07005e-06 0 0
  18 0.5 2.07009e-06 0 0
  19 0.5 2.07018e-06 0 0
  20 0.5 2.07183e-06 0 0
  21 0.5 2.07146e-06 0 0
  22 0.5 2.07159e-06 0 0
  23 0.5 2.07223e-06 0 0
  24 0.5 2.07353e-06 0 0
  25 0.5 2.07573e-06 0 0
  26 0.5 2.07922e-06 0 0
  27 0.5 2.08454e-06 0 0
  28 0.5 2.0924e-06 0 0
  29 0.5 2.10367e-06 0 0
  30 0.5 2.1194e-06 0 0
  31 0.5 2.14073e-06 0 0
  32 0.5 2.16887e-06 0 0
  33 0.5 2.20499e-06 0 0
  34 0.5 2.25008e-06 0 0
  35 0.5 2.30481e-06 0 0
  36 0.5 2.36945e-06 0 0
  37 0.5 2.44369e-06 0 0
  38 0.5 2.52664e-06 0 0
  39 0.5 2.61677e-06 0 0
  40 0.5 2.71205e-06 0 0
  41 0.5 2.81e-06 0 0
  42 0.5 2.90795e-06 0 0
  43 0.5 3.00323e-06 0 0
  44 0.5 3.09336e-06 0 0
  45 0.5 3.17631e-06 0 0
  46 0.5 3.25055e-06 0 0
  47 0.5 3.31519e-06 0 0
  48 0.5 3.36992e-06 0 0
  49 0.5 3.41501e-06 0 0
  50 0.5 3.45113e-06 0 0
  51 0.5 3.47927e-06 0 0
  52 0.5 3.50061e-06 0 0
  53 0.5 3.51634e-06 0 0
  54 0.5 3.52764e-06 0 0
  55 0.5 3.53553e-06 0 0
  56 0.5 3.54091e-06 0 0
  57 0.5 3.54452e-06 0 0
  58 0.5 3.54694e-06 0 0
  59 0.5 3.54861e-06 0 0
  60 0.5 3.54989e-06 0 0
  61 0.5 3.55107e-06 0 0
  62 0.5 3.55241e-06 0 0
  63 0.5 3.55415e-06 0 0
  64 0.5 3.55653e-06 0 0
  65 0.5 3.55981e-06 0 0
  66 0.5 3.56421e-06 0 0
  67 0.5 3.56996e-06 0 0
  68 0.5 3.57717e-06 0 0
  69 0.5 3.58579e-06 0 0
