# Q dQ R dR fit
0.008 0.000101125 0.485949 0.012511 0.433511
0.00900001 0.000113765 0.413446 0.00996036 0.383681
0.01 0.000126406 0.358358 0.00863259 0.333427
0.011 0.000139046 0.308119 0.00762675 0.287473
0.012 0.000151687 0.263847 0.00623475 0.245901
0.013 0.000164327 0.218517 0.00518297 0.208689
0.014 0.000176968 0.186564 0.00453834 0.175724
0.015 0.000189608 0.151928 0.00358437 0.146807
0.016 0.000202248 0.126623 0.00300254 0.121682
0.017 0.000214889 0.10379 0.00252463 0.100049
0.018 0.000227529 0.084506 0.00201302 0.081589
0.019 0.000240169 0.0668028 0.00158279 0.0659713
0.02 0.000252809 0.0520239 0.00127612 0.0528702
0.021 0.00026545 0.0408754 0.00101206 0.0419739
0.0219999 0.000278089 0.0318031 0.000787073 0.0329904
0.023 0.00029073 0.0245756 0.00061596 0.0256491
0.0240001 0.000303371 0.0184672 0.000490793 0.0197073
0.025 0.000316009 0.0139431 0.000340757 0.0150189
0.0273999 0.000346345 0.0061889 0.000190225 0.00736893
0.0298 0.000376682 0.0027242 9.95244e-05 0.0032589
0.0321999 0.000407015 0.00101309 5.05409e-05 0.00133116
0.0346 0.000437351 0.0005632 3.42751e-05 0.000616294
0.037 0.000467686 0.000661549 3.50486e-05 0.000502769
0.0394 0.00049802 0.000874656 3.88945e-05 0.000625758
0.0418 0.000528354 0.000992419 4.01534e-05 0.000785093
0.0441999 0.000558686 0.00103245 3.94121e-05 0.00088647
0.0466001 0.00058902 0.00105114 3.82091e-05 0.00090042
0.0489999 0.00061935 0.000857573 3.22725e-05 0.000834107
0.0513999 0.000649682 0.000724035 2.79136e-05 0.000712161
0.0537999 0.000680013 0.000540308 2.23694e-05 0.000564035
0.0562001 0.000710345 0.00038946 1.77433e-05 0.000416077
0.0586 0.000740673 0.000230462 1.26704e-05 0.000287409
0.061 0.000771002 0.000143217 9.65922e-06 0.000188491
0.0634 0.00080133 0.000105806 8.10106e-06 0.000121893
0.0657999 0.000831657 7.9802e-05 6.90168e-06 8.41973e-05
0.0682 0.000861985 7.7075e-05 6.49506e-06 6.84617e-05
0.0706001 0.000892311 7.84348e-05 6.24884e-06 6.65706e-05
0.073 0.000922636 9.72952e-05 6.56329e-06 7.10509e-05
0.0753999 0.000952959 9.15629e-05 6.12754e-06 7.6194e-05
0.0778 0.000983284 8.66427e-05 5.76422e-06 7.84847e-05
0.0801999 0.00101361 8.27815e-05 5.45558e-06 7.64898e-05
0.0826001 0.00104393 7.22635e-05 4.9985e-06 7.04145e-05
0.0849999 0.00107425 5.54935e-05 4.36394e-06 6.15194e-05
0.0874001 0.00110457 4.63598e-05 3.97906e-06 5.15325e-05
0.0898 0.00113489 3.79375e-05 3.62854e-06 4.21669e-05
0.0922 0.00116521 3.27774e-05 3.37513e-06 3.47523e-05
0.0946 0.00119552 3.1839e-05 3.23703e-06 3.00291e-05
0.097 0.00122584 2.74303e-05 3.01646e-06 2.80768e-05
0.0994 0.00125615 3.22828e-05 3.04378e-06 2.83821e-05
0.1018 0.00128646 3.45836e-05 3.00554e-06 3.00141e-05
0.1042 0.00131678 3.99049e-05 3.04004e-06 3.18733e-05
0.1066 0.00134709 3.4446e-05 2.82151e-06 3.2959e-05
0.109 0.0013774 3.09641e-05 2.6562e-06 3.25959e-05
0.1114 0.00140771 2.74577e-05 2.50287e-06 3.05696e-05
0.1138 0.00143801 2.24368e-05 2.32511e-06 2.71427e-05
0.1162 0.00146832 2.05167e-05 2.21803e-06 2.29481e-05
0.1186 0.00149862 1.71672e-05 2.08862e-06 1.87991e-05
