Model 0x104165fe0
  size 375 out of 409
  interface=0x104166080
  repeats=0 at 0x104166014
  # d(0x7fdd2900b990) rho(0x7fdd2900acc8) mu(0x7fdd2900a000) rough(0x7fdd2900c658)
  0 0 2.07e-06 0 3
  1 27.1386 3.33859e-06 0 3
  2 12.0045 3.8062e-06 0 3
  3 147.085 4.43664e-06 0 21.5549
  4 0.5 4.43663e-06 0 0
  5 0.5 4.43663e-06 0 0
  6 0.5 4.43663e-06 0 0
  7 0.5 4.43663e-06 0 0
  8 0.5 4.43663e-06 0 0
  9 0.5 4.43662e-06 0 0
  10 0.5 4.43661e-06 0 0
  11 0.5 4.43659e-06 0 0
  12 0.5 4.43656e-06 0 0
  13 0.5 4.43651e-06 0 0
  14 0.5 4.43643e-06 0 0
  15 0.5 4.43629e-06 0 0
  16 0.5 4.43606e-06 0 0
  17 0.5 4.43677e-06 0 0
  18 0.5 4.43558e-06 0 0
  19 0.5 4.43445e-06 0 0
  20 0.5 4.43304e-06 0 0
  21 0.5 4.43106e-06 0 0
  22 0.5 4.4282e-06 0 0
  23 0.5 4.42409e-06 0 0
  24 0.5 4.41827e-06 0 0
  25 0.5 4.41014e-06 0 0
  26 0.5 4.399e-06 0 0
  27 0.5 4.38396e-06 0 0
  28 0.5 4.364e-06 0 0
  29 0.5 4.33796e-06 0 0
  30 0.5 4.30457e-06 0 0
  31 0.5 4.26244e-06 0 0
  32 0.5 4.21021e-06 0 0
  33 0.5 4.14654e-06 0 0
  34 0.5 4.07023e-06 0 0
  35 0.5 3.98032e-06 0 0
  36 0.5 3.87617e-06 0 0
  37 0.5 3.75759e-06 0 0
  38 0.5 3.62484e-06 0 0
  39 0.5 3.47874e-06 0 0
  40 0.5 3.32066e-06 0 0
  41 0.5 3.15246e-06 0 0
  42 0.5 2.97648e-06 0 0
  43 0.5 2.79536e-06 0 0
  44 0.5 2.61197e-06 0 0
  45 0.5 2.42919e-06 0 0
  46 0.5 2.2498e-06 0 0
  47 0.5 2.07628e-06 0 0
  48 0.5 1.91071e-06 0 0
  49 0.5 1.75466e-06 0 0
  50 0.5 1.60914e-06 0 0
  51 0.5 1.4746e-06 0 0
  52 0.5 1.35094e-06 0 0
  53 0.5 1.23762e-06 0 0
  54 0.5 1.13372e-06 0 0
  55 0.5 1.0381e-06 0 0
  56 0.5 9.49495e-07 0 0
  57 0.5 8.66639e-07 0 0
  58 0.5 7.88357e-07 0 0
  59 0.5 7.1365e-07 0 0
  60 0.5 6.41739e-07 0 0
  61 0.5 5.72087e-07 0 0
  62 0.5 5.04395e-07 0 0
  63 0.5 4.38584e-07 0 0
  64 0.5 3.74751e-07 0 0
  65 0.5 3.13122e-07 0 0
  66 0.5 2.54005e-07 0 0
  67 0.5 1.97735e-07 0 0
  68 0.5 1.44635e-07 0 0
  69 0.5 9.49792e-08 0 0
  70 0.5 4.89683e-08 0 0
  71 0.5 6.71506e-09 0 0
  72 0.5 -3.176e-08 0 0
  73 0.5 -6.65246e-08 0 0
  74 0.5 -9.77247e-08 0 0
  75 0.5 -1.25569e-07 0 0
  76 0.5 -1.5031e-07 0 0
  77 0.5 -1.72229e-07 0 0
  78 0.5 -1.91615e-07 0 0
  79 0.5 -2.0875e-07 0 0
  80 0.5 -2.23897e-07 0 0
  81 0.5 -2.37288e-07 0 0
  82 0.5 -2.49117e-07 0 0
  83 0.5 -2.59536e-07 0 0
  84 0.5 -2.68651e-07 0 0
  85 0.5 -2.76518e-07 0 0
  86 0.5 -2.83146e-07 0 0
  87 0.5 -2.88492e-07 0 0
  88 0.5 -2.9246e-07 0 0
  89 0.5 -2.94898e-07 0 0
  90 0.5 -2.95594e-07 0 0
  91 0.5 -2.94266e-07 0 0
  92 0.5 -2.9056e-07 0 0
  93 0.5 -2.84038e-07 0 0
  94 0.5 -2.74172e-07 0 0
  95 0.5 -2.60338e-07 0 0
  96 0.5 -2.41809e-07 0 0
  97 0.5 -2.1776e-07 0 0
  98 0.5 -1.87268e-07 0 0
  99 0.5 -1.49331e-07 0 0
  100 0.5 -1.0288e-07 0 0
  101 0.5 -4.68177e-08 0 0
  102 0.5 1.99524e-08 0 0
  103 0.5 9.84753e-08 0 0
  104 0.5 1.89695e-07 0 0
  105 0.5 2.94399e-07 0 0
  106 0.5 4.13163e-07 0 0
  107 0.5 5.46298e-07 0 0
  108 0.5 6.93805e-07 0 0
  109 0.5 8.55345e-07 0 0
  110 0.5 1.03022e-06 0 0
  111 0.5 1.21737e-06 0 0
  112 0.5 1.4154e-06 0 0
  113 0.5 1.62261e-06 0 0
  114 0.5 1.83708e-06 0 0
  115 0.5 2.0567e-06 0 0
