Model 0x104166290
  size 375 out of 409
  interface=0x104166330
  repeats=0 at 0x1041662c4
  # d(0x7fdd2900ed90) rho(0x7fdd2900e0c8) mu(0x7fdd2900d400) rough(0x7fdd2900fa58)
  0 0 2.07e-06 0 3
  1 27.1386 3.33859e-06 0 3
  2 12.0045 3.8062e-06 0 3
  3 147.085 4.43664e-06 0 21.5549
  4 0.5 4.43664e-06 0 0
  5 0.5 4.43664e-06 0 0
  6 0.5 4.43664e-06 0 0
  7 0.5 4.43664e-06 0 0
  8 0.5 4.43663e-06 0 0
  9 0.5 4.43663e-06 0 0
  10 0.5 4.43663e-06 0 0
  11 0.5 4.43662e-06 0 0
  12 0.5 4.4366e-06 0 0
  13 0.5 4.43657e-06 0 0
  14 0.5 4.43651e-06 0 0
  15 0.5 4.43641e-06 0 0
  16 0.5 4.43624e-06 0 0
  17 0.5 4.43309e-06 0 0
  18 0.5 4.43435e-06 0 0
  19 0.5 4.43435e-06 0 0
  20 0.5 4.43353e-06 0 0
  21 0.5 4.43195e-06 0 0
  22 0.5 4.42947e-06 0 0
  23 0.5 4.42581e-06 0 0
  24 0.5 4.42051e-06 0 0
  25 0.5 4.41303e-06 0 0
  26 0.5 4.40263e-06 0 0
  27 0.5 4.38846e-06 0 0
  28 0.5 4.36945e-06 0 0
  29 0.5 4.34443e-06 0 0
  30 0.5 4.31204e-06 0 0
  31 0.5 4.27084e-06 0 0
  32 0.5 4.21935e-06 0 0
  33 0.5 4.15608e-06 0 0
  34 0.5 4.07966e-06 0 0
  35 0.5 3.98895e-06 0 0
  36 0.5 3.8831e-06 0 0
  37 0.5 3.76167e-06 0 0
  38 0.5 3.62473e-06 0 0
  39 0.5 3.47289e-06 0 0
  40 0.5 3.30736e-06 0 0
  41 0.5 3.12992e-06 0 0
  42 0.5 2.94285e-06 0 0
  43 0.5 2.74888e-06 0 0
  44 0.5 2.55102e-06 0 0
  45 0.5 2.3524e-06 0 0
  46 0.5 2.15615e-06 0 0
  47 0.5 1.96516e-06 0 0
  48 0.5 1.78201e-06 0 0
  49 0.5 1.60879e-06 0 0
  50 0.5 1.44704e-06 0 0
  51 0.5 1.29771e-06 0 0
  52 0.5 1.16119e-06 0 0
  53 0.5 1.03732e-06 0 0
  54 0.5 9.25496e-07 0 0
  55 0.5 8.24784e-07 0 0
  56 0.5 7.34006e-07 0 0
  57 0.5 6.51876e-07 0 0
  58 0.5 5.77101e-07 0 0
  59 0.5 5.08466e-07 0 0
  60 0.5 4.44903e-07 0 0
  61 0.5 3.85528e-07 0 0
  62 0.5 3.29659e-07 0 0
  63 0.5 2.76815e-07 0 0
  64 0.5 2.26693e-07 0 0
  65 0.5 1.79138e-07 0 0
  66 0.5 1.34105e-07 0 0
  67 0.5 9.16207e-08 0 0
  68 0.5 5.17462e-08 0 0
  69 0.5 1.45467e-08 0 0
  70 0.5 -1.9933e-08 0 0
  71 0.5 -5.16842e-08 0 0
  72 0.5 -8.0743e-08 0 0
  73 0.5 -1.07192e-07 0 0
  74 0.5 -1.31155e-07 0 0
  75 0.5 -1.52792e-07 0 0
