Model 0x10eb0a7f0
  size 375 out of 409
  interface=0x10eb0a890
  repeats=0 at 0x10eb0a824
  # d(0x7fa290814790) rho(0x7fa290813ac8) mu(0x7fa290812e00) rough(0x7fa290815458)
  0 0 2.07e-06 0 3
  1 27.1386 3.33859e-06 0 3
  2 12.0045 3.8062e-06 0 3
  3 140.085 4.43664e-06 0 21.5549
  4 0.5 4.43664e-06 0 0
  5 0.5 4.43663e-06 0 0
  6 0.5 4.43663e-06 0 0
  7 0.5 4.43663e-06 0 0
  8 0.5 4.43663e-06 0 0
  9 0.5 4.43662e-06 0 0
  10 0.5 4.43661e-06 0 0
  11 0.5 4.4366e-06 0 0
  12 0.5 4.43657e-06 0 0
  13 0.5 4.43652e-06 0 0
  14 0.5 4.43644e-06 0 0
  15 0.5 4.43631e-06 0 0
  16 0.5 4.43609e-06 0 0
  17 0.5 4.43681e-06 0 0
  18 0.5 4.43564e-06 0 0
  19 0.5 4.43455e-06 0 0
  20 0.5 4.43319e-06 0 0
  21 0.5 4.43128e-06 0 0
  22 0.5 4.42852e-06 0 0
  23 0.5 4.42455e-06 0 0
  24 0.5 4.41891e-06 0 0
  25 0.5 4.41105e-06 0 0
  26 0.5 4.40026e-06 0 0
  27 0.5 4.3857e-06 0 0
  28 0.5 4.36636e-06 0 0
  29 0.5 4.34112e-06 0 0
  30 0.5 4.30873e-06 0 0
  31 0.5 4.26786e-06 0 0
  32 0.5 4.21717e-06 0 0
  33 0.5 4.15536e-06 0 0
  34 0.5 4.08127e-06 0 0
  35 0.5 3.99421e-06 0 0
  36 0.5 3.89279e-06 0 0
  37 0.5 3.77757e-06 0 0
  38 0.5 3.64856e-06 0 0
  39 0.5 3.50654e-06 0 0
  40 0.5 3.35283e-06 0 0
  41 0.5 3.18922e-06 0 0
  42 0.5 3.01797e-06 0 0
  43 0.5 2.84164e-06 0 0
  44 0.5 2.66296e-06 0 0
  45 0.5 2.48473e-06 0 0
  46 0.5 2.30961e-06 0 0
  47 0.5 2.13997e-06 0 0
  48 0.5 1.9778e-06 0 0
  49 0.5 1.82457e-06 0 0
  50 0.5 1.68125e-06 0 0
  51 0.5 1.54821e-06 0 0
  52 0.5 1.42534e-06 0 0
  53 0.5 1.31208e-06 0 0
  54 0.5 1.20754e-06 0 0
  55 0.5 1.1106e-06 0 0
  56 0.5 1.02004e-06 0 0
  57 0.5 9.34663e-07 0 0
  58 0.5 8.53362e-07 0 0
  59 0.5 7.75221e-07 0 0
  60 0.5 6.99546e-07 0 0
  61 0.5 6.25891e-07 0 0
  62 0.5 5.54046e-07 0 0
  63 0.5 4.84016e-07 0 0
  64 0.5 4.15977e-07 0 0
  65 0.5 3.50229e-07 0 0
  66 0.5 2.87141e-07 0 0
  67 0.5 2.27101e-07 0 0
  68 0.5 1.70473e-07 0 0
  69 0.5 1.17563e-07 0 0
