median_area p2sigma_nsld m2sigma_nsld p2sigma_area median_nsl m2sigma_nsl m2sigma_area psigma_area msigma_nsl msigma_nsld p2sigma_nsl zaxis psigma_nsld psigma_nsl median_nsld msigma_area 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.5 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.5 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.5 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.5 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.5 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.5 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.5 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.5 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.5 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.5 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.5 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.5 0.0 0.0 0.0 0.0 
0.0 2.46963933801e-06 0.0 0.00018748 0.0 0.0 0.0 0.0 0.0 0.0 3.014571216e-10 15.0 0.0 0.0 0.0 0.0 
0.0 3.59716407143e-06 0.0 0.025333432 0.0 0.0 0.0 0.0 0.0 0.0 3.931787008e-08 15.5 0.0 0.0 0.0 0.0 
0.0 4.07609486519e-06 0.0 0.053143576 0.0 0.0 0.0 0.0 0.0 0.0 1.12174112e-07 16.0 0.0 0.0 0.0 0.0 
0.0 4.25704475275e-06 0.0 0.14469948 0.0 0.0 0.0 0.0 0.0 0.0 2.296101592e-07 16.5 0.0 0.0 0.0 0.0 
0.0 4.29135425153e-06 0.0 0.256413968 0.0 0.0 0.0 0.0 0.0 0.0 3.381974432e-07 17.0 0.0 0.0 0.0 0.0 
0.0 4.409146989e-06 0.0 0.428655296 0.0 0.0 0.0 0.0 0.0 0.0 5.190249584e-07 17.5 0.0 0.0 0.0 0.0 
0.0 4.51348867775e-06 0.0 0.583768336 0.0 0.0 0.0 0.0 0.0 0.0 7.174358912e-07 18.0 0.0 0.0 0.0 0.0 
0.0 4.55005433918e-06 0.0 0.74480684 0.0 0.0 0.0 0.000221528 0.0 0.0 9.279215064e-07 18.5 1.82107481401e-06 3.29265192e-10 0.0 0.0 
0.0 4.58517011383e-06 0.0 0.911814992 0.0 0.0 0.0 0.002631448 0.0 0.0 1.148829672e-06 19.0 2.12053560656e-06 4.321404808e-09 0.0 0.0 
0.0 4.56370952653e-06 0.0 1.083686824 0.0 0.0 0.0 0.00587332 0.0 0.0 1.36889596e-06 19.5 2.2420091227e-06 8.482149472e-09 0.0 0.0 
0.0 4.54140949466e-06 0.0 1.293526728 0.0 0.0 0.0 0.011439592 0.0 0.0 1.597384152e-06 20.0 2.31233958174e-06 1.513908568e-08 0.0 0.0 
0.0 4.57810540356e-06 0.0 1.455016536 0.0 0.0 0.0 0.017058304 0.0 0.0 1.829839344e-06 20.5 2.48979543576e-06 2.22988348e-08 0.0 0.0 
0.0 4.56026271018e-06 0.0 1.5801358 0.0 0.0 0.0 0.026150608 0.0 0.0 2.065218e-06 21.0 2.68567924157e-06 3.83504788e-08 0.0 0.0 
