# z rho mu
-16.3183 2.07e-06 0
-6.31829 2.07e-06 0
-6.31829 2.07001e-06 0
-4.98147 2.07001e-06 0
-4.98147 2.07084e-06 0
-3.90156 2.07084e-06 0
-3.90156 2.07669e-06 0
-3.18219 2.07669e-06 0
-3.18219 2.09473e-06 0
-2.62178 2.09473e-06 0
-2.62178 2.1318e-06 0
-2.15038 2.1318e-06 0
-2.15038 2.1924e-06 0
-1.7345 2.1924e-06 0
-1.7345 2.27802e-06 0
-1.35502 2.27802e-06 0
-1.35502 2.38724e-06 0
-0.999696 2.38724e-06 0
-0.999696 2.51625e-06 0
-0.659791 2.51625e-06 0
-0.659791 2.65943e-06 0
-0.328507 2.65943e-06 0
-0.328507 2.81e-06 0
-1.88738e-15 2.81e-06 0
-1.88738e-15 2.96057e-06 0
0.331284 2.96057e-06 0
0.331284 3.10375e-06 0
0.671188 3.10375e-06 0
0.671188 3.23276e-06 0
1.02652 3.23276e-06 0
1.02652 3.34198e-06 0
1.40599 3.34198e-06 0
1.40599 3.4276e-06 0
1.82188 3.4276e-06 0
1.82188 3.4882e-06 0
2.29327 3.4882e-06 0
2.29327 3.52527e-06 0
2.85368 3.52527e-06 0
2.85368 3.54331e-06 0
3.57305 3.54331e-06 0
3.57305 3.54916e-06 0
4.65296 3.54916e-06 0
4.65296 3.54999e-06 0
5.98978 3.54999e-06 0
5.98978 3.55e-06 0
14.4817 3.55e-06 0
14.4817 3.55e-06 0
15.8185 3.55e-06 0
15.8185 3.54981e-06 0
16.8984 3.54981e-06 0
16.8984 3.54851e-06 0
17.6178 3.54851e-06 0
17.6178 3.54449e-06 0
18.1782 3.54449e-06 0
18.1782 3.53622e-06 0
18.6496 3.53622e-06 0
18.6496 3.52271e-06 0
19.0655 3.52271e-06 0
19.0655 3.50362e-06 0
19.445 3.50362e-06 0
19.445 3.47926e-06 0
19.8003 3.47926e-06 0
19.8003 3.4505e-06 0
20.1402 3.4505e-06 0
20.1402 3.41857e-06 0
20.4715 3.41857e-06 0
20.4715 3.385e-06 0
20.8 3.385e-06 0
20.8 3.35143e-06 0
21.1313 3.35143e-06 0
21.1313 3.3195e-06 0
21.4712 3.3195e-06 0
21.4712 3.29074e-06 0
21.8265 3.29074e-06 0
21.8265 3.26638e-06 0
22.206 3.26638e-06 0
22.206 3.24729e-06 0
22.6219 3.24729e-06 0
22.6219 3.23378e-06 0
23.0933 3.23378e-06 0
23.0933 3.22551e-06 0
23.6537 3.22551e-06 0
23.6537 3.22149e-06 0
24.3731 3.22149e-06 0
24.3731 3.22019e-06 0
25.453 3.22019e-06 0
25.453 3.22e-06 0
26.7898 3.22e-06 0
26.7898 3.22e-06 0
41.4357 3.22e-06 0
41.4357 3.96013e-06 0
41.4357 3.96013e-06 0
41.4357 4.07913e-06 0
41.4357 4.07913e-06 0
41.4357 4.18635e-06 0
41.4357 4.18635e-06 0
41.4357 4.27712e-06 0
41.4357 4.27712e-06 0
41.4357 4.34827e-06 0
41.4357 4.34827e-06 0
41.4357 4.39864e-06 0
41.4357 4.39864e-06 0
41.4357 4.42945e-06 0
41.4357 4.42945e-06 0
41.4357 4.44444e-06 0
41.4357 4.44444e-06 0
41.4357 4.44931e-06 0
41.4357 4.44931e-06 0
41.4357 4.44999e-06 0
41.4357 4.44999e-06 0
41.4357 4.45e-06 0
62.2357 4.45e-06 0
62.2357 6.35e-06 0
62.7357 6.35e-06 0
62.7357 6.35e-06 0
63.2357 6.35e-06 0
63.2357 6.35e-06 0
63.7357 6.35e-06 0
63.7357 6.35e-06 0
64.2357 6.35e-06 0
64.2357 6.35e-06 0
64.7357 6.35e-06 0
64.7357 6.35e-06 0
65.2357 6.35e-06 0
65.2357 6.35e-06 0
65.7357 6.35e-06 0
65.7357 6.35e-06 0
66.2357 6.35e-06 0
66.2357 6.35e-06 0
66.7357 6.35e-06 0
66.7357 6.35e-06 0
67.2357 6.35e-06 0
67.2357 6.35e-06 0
67.7357 6.35e-06 0
67.7357 6.35e-06 0
68.2357 6.35e-06 0
68.2357 6.35e-06 0
68.7357 6.35e-06 0
68.7357 6.35e-06 0
69.2357 6.35e-06 0
69.2357 6.35e-06 0
69.7357 6.35e-06 0
69.7357 6.35e-06 0
70.2357 6.35e-06 0
70.2357 6.35e-06 0
70.7357 6.35e-06 0
70.7357 6.35e-06 0
71.2357 6.35e-06 0
71.2357 6.35e-06 0
71.7357 6.35e-06 0
71.7357 6.35e-06 0
72.2357 6.35e-06 0
72.2357 6.35e-06 0
72.7357 6.35e-06 0
72.7357 6.35e-06 0
73.2357 6.35e-06 0
73.2357 6.35e-06 0
73.7357 6.35e-06 0
73.7357 6.35e-06 0
74.2357 6.35e-06 0
74.2357 6.35e-06 0
74.7357 6.35e-06 0
74.7357 6.35e-06 0
75.2357 6.35e-06 0
75.2357 6.35e-06 0
75.7357 6.35e-06 0
75.7357 6.35e-06 0
76.2357 6.35e-06 0
76.2357 6.35e-06 0
76.7357 6.35e-06 0
76.7357 6.35e-06 0
77.2357 6.35e-06 0
77.2357 6.35e-06 0
77.7357 6.35e-06 0
77.7357 6.35e-06 0
78.2357 6.35e-06 0
78.2357 6.35e-06 0
78.7357 6.35e-06 0
78.7357 6.35e-06 0
79.2357 6.35e-06 0
79.2357 6.35e-06 0
79.7357 6.35e-06 0
79.7357 6.35e-06 0
80.2357 6.35e-06 0
80.2357 6.35e-06 0
80.7357 6.35e-06 0
80.7357 6.35e-06 0
81.2357 6.35e-06 0
81.2357 6.35e-06 0
81.7357 6.35e-06 0
81.7357 6.35e-06 0
82.2357 6.35e-06 0
82.2357 6.35e-06 0
82.7357 6.35e-06 0
82.7357 6.35e-06 0
83.2357 6.35e-06 0
83.2357 6.35e-06 0
83.7357 6.35e-06 0
83.7357 6.35e-06 0
84.2357 6.35e-06 0
84.2357 6.35e-06 0
84.7357 6.35e-06 0
84.7357 6.35e-06 0
85.2357 6.35e-06 0
85.2357 6.35e-06 0
85.7357 6.35e-06 0
85.7357 6.35e-06 0
86.2357 6.35e-06 0
86.2357 6.35e-06 0
86.7357 6.35e-06 0
86.7357 6.35e-06 0
87.2357 6.35e-06 0
87.2357 6.35e-06 0
87.7357 6.35e-06 0
87.7357 6.35e-06 0
88.2357 6.35e-06 0
88.2357 6.35e-06 0
88.7357 6.35e-06 0
88.7357 6.35e-06 0
89.2357 6.35e-06 0
89.2357 6.35e-06 0
89.7357 6.35e-06 0
89.7357 6.35e-06 0
