z lipid2 substrate bME protein lipid1 headgroup2 headgroup2_2 headgroup2_3 normarea tetherg headgroup1_3 headgroup1_2 defect_hg methyl1 tether defect_hc methyl2 headgroup1 summol water waterperc
0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0
0.5 0.0 72.518046 0.0 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 72.518046 9.99999997475e-07 1.37896708315e-08
1.0 0.0 72.518046 1e-06 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 1e-06 0.0 0.0 0.0 72.518048 -9.99999997475e-07 -1.37896708315e-08
1.5 0.0 72.518043 2e-06 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 1e-06 0.0 0.0 0.0 72.518046 9.99999997475e-07 1.37896708315e-08
2.0 0.0 72.518039 5e-06 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 3e-06 0.0 0.0 0.0 72.518047 -1.42108547152e-14 -1.95963009252e-16
2.5 0.0 72.518029 1.1e-05 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 7e-06 0.0 0.0 0.0 72.518047 0.0 0.0
3.0 0.0 72.518008 2.4e-05 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 1.4e-05 0.0 0.0 0.0 72.518046 1.00000001169e-06 1.37896710275e-08
3.5 0.0 72.517967 4.8e-05 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 2.9e-05 0.0 0.0 0.0 72.518044 2.99999999243e-06 4.13690124946e-08
4.0 0.0 72.517886 9.7e-05 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 5.7e-05 0.0 0.0 0.0 72.51804 6.99999999654e-06 9.65276960167e-08
4.5 0.0 72.517731 0.000191 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.000113 0.0 0.0 0.0 72.518035 1.19999999981e-05 1.6547605037e-07
5.0 0.0 72.517436 0.000368 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.000218 0.0 0.0 0.0 72.518022 2.49999999937e-05 3.44741771572e-07
5.5 0.0 72.51689 0.000696 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.000413 0.0 0.0 0.0 72.517999 4.79999999925e-05 6.61904201481e-07
6.0 0.0 72.515901 0.00129 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.000767 0.0 0.0 0.0 72.517958 8.90000000027e-05 1.22728070714e-06
6.5 0.0 72.472297 0.002344 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.001395 0.0 0.0 0.0 72.476036 0.042011 0.000579317862766
7.0 0.0 72.49421 0.004178 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.002489 0.0 0.0 0.0 72.500877 0.01717 0.000236768648775
7.5 0.0 72.499445 0.007302 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.004354 0.0 0.0 0.0 72.511101 0.006946 9.57830538376e-05
8.0 0.0 72.494832 0.012513 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.007471 0.0 0.0 0.0 72.514816 0.003231 4.45544265691e-05
8.5 0.0 72.482067 0.021027 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.012574 0.0 0.0 0.0 72.515668 0.00237899999999 3.28056269909e-05
9.0 0.0 72.459683 0.03465 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.020757 0.0 0.0 0.0 72.51509 0.00295699999999 4.07760567517e-05
9.5 0.0 72.423858 0.055997 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.033615 0.0 0.0 0.0 72.51347 0.004577 6.31153235552e-05
10.0 0.0 72.368503 0.088751 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.053404 0.0 0.0 0.0 72.510658 0.00738899999999 0.000101891878031
10.5 0.0 72.284967 0.13796 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.083245 0.0 0.0 0.0 72.506172 0.011875 0.000163752341538
11.0 0.0 72.161546 0.21034 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.127328 0.0 0.0 0.0 72.499214 0.018833 0.000259700871426
11.5 0.0 71.982923 0.314556 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.191126 0.0 0.0 0.0 72.488605 0.029442 0.000405995489647
12.0 0.0 71.729668 0.461429 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.281579 0.0 0.0 0.0 72.472676 0.045371 0.000625651156877
12.5 0.0 71.377899 0.663992 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.407218 0.0 0.0 0.0 72.449109 0.068938 0.000950632330184
13.0 0.0 70.899227 0.937332 0.0 -0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.0 0.0 0.0 0.578182 0.0 0.0 1e-06 72.414742 0.103305 0.00142454194885
13.5 0.0 70.261111 1.298126 0.0 -0.0 0.0 0.0 0.0 72.518047 0.0 0.0 1e-06 0.0 0.0 0.806093 0.0 0.0 3e-06 72.365334 0.152713 0.00210586200701
14.0 0.0 69.427732 1.763822 0.0 -0.0 0.0 0.0 0.0 72.518047 0.0 0.0 2e-06 0.0 0.0 1.103744 0.0 0.0 9e-06 72.295309 0.222738 0.00307148370943
14.5 0.0 68.361463 2.351411 0.0 -0.0 0.0 0.0 0.0 72.518047 0.0 0.0 6e-06 0.0 0.0 1.484575 0.0 0.0 2.9e-05 72.197484 0.320563 0.00442045826193
15.0 0.0 67.024953 3.075806 0.0 -0.0 0.0 0.0 0.0 72.518047 0.0 0.0 2e-05 0.0 0.0 1.961927 0.0 0.0 8.6e-05 72.062792 0.455255 0.00627781661026
15.5 0.0 65.383762 3.947902 0.0 -0.0 0.0 0.0 0.0 72.518047 0.0 0.0 6.2e-05 0.0 0.0 2.548098 0.0 0.0 0.000244 71.880068 0.637979 0.00879752042964
16.0 0.0 63.409398 4.972454 0.0 -0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.00018 1e-06 0.0 3.253267 0.0 0.0 0.000655 71.635955 0.882092 0.0121637583538
16.5 0.0 61.082504 6.145984 0.0 -0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.000492 3e-06 0.0 4.084345 0.0 0.0 0.001663 71.314991 1.203056 0.0165897462738
17.0 0.0 58.395878 7.454987 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.001275 7e-06 0.0 5.043907 0.0 0.0 0.004002 70.900056 1.617991 0.0223115633547
17.5 0.0 55.356957 8.87472 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.00313 1.5e-05 0.0 6.129295 0.0 0.0 0.009134 70.373251 2.144796 0.0295760309154
18.0 0.0 51.989418 10.368861 0.0 0.0 0.0 0.0 0.0 72.518047 0.0 0.0 0.007279 3.2e-05 0.0 7.332053 0.0 0.0 0.01977 69.717413 2.800634 0.0386198210771
18.5 0.0 48.333576 11.890256 0.0 0.0 0.0 0.0 0.0 72.518047 1e-06 0.0 0.016053 6.5e-05 0.0 8.637782 0.0 0.0 0.040605 68.918338 3.599709 0.0496388023246
19.0 0.0 44.445423 13.382855 0.0 0.0 0.0 0.0 0.0 72.518047 2e-06 0.0 0.033582 0.000126 0.0 10.026483 0.0 0.0 0.079174 67.967645 4.550402 0.0627485458895
19.5 0.0 40.394251 14.784813 0.0 0.0 0.0 0.0 0.0 72.518047 8e-06 0.0 0.066673 0.000233 0.0 11.473405 0.0 0.0 0.146656 66.866039 5.652008 0.0779393300539
20.0 0.0 36.259024 16.03256 0.0 0.0 0.0 0.0 0.0 72.518047 2.6e-05 0.0 0.125699 0.000407 0.0 12.95034 0.0 0.0 0.258267 65.626323 6.891724 0.0950346056617
20.5 0.0 32.123797 17.065479 0.0 1e-06 0.0 0.0 0.0 72.518047 8.5e-05 0.0 0.22518 0.000677 0.0 14.427247 0.0 0.0 0.432788 64.275254 8.242793 0.113665402489
21.0 0.0 28.072624 17.830743 0.0 4e-06 0.0 0.0 0.0 72.518047 0.000258 0.0 0.383604 0.001072 0.0 15.874055 0.0 0.0 0.690863 62.853223 9.664824 0.133274741941
21.5 0.0 24.184471 18.287761 0.0 1.5e-05 0.0 0.0 0.0 72.518047 0.000743 0.0 0.621986 0.001619 0.0 17.262423 0.0 0.0 1.051925 61.410943 11.107104 0.153163308438
22.0 0.0 20.52863 18.411729 0.0 5.1e-05 0.0 0.0 0.0 72.518047 0.002027 0.0 0.960909 0.002334 0.0 18.567264 0.0 0.0 1.530161 60.003105 12.514942 0.172576931091
22.5 0.0 17.16109 18.195848 0.0 0.000165 0.0 0.0 0.0 72.518047 0.005238 0.0 1.41621 0.003217 0.0 19.767797 0.0 0.0 2.130443 58.680008 13.838039 0.190822003246
23.0 0.0 14.12217 17.651938 0.0 0.000502 0.0 0.0 0.0 72.518047 0.012812 0.0 1.994126 0.004248 0.0 20.847909 0.0 0.0 2.845521 57.479226 15.038821 0.207380391808
23.5 0.0 11.435543 16.809373 0.0 0.001448 0.0 0.0 0.0 72.518047 0.029677 0.0 2.687205 0.005385 0.0 21.795654 1e-06 0.0 3.655643 56.419929 16.098118 0.221987748788
24.0 0.0 9.108649 15.712466 0.000297 0.00396 0.0 0.0 0.0 72.518047 0.065102 0.0 3.472479 0.00657 1e-06 22.601723 3e-06 0.0 4.531056 55.502306 17.015741 0.234641467937
24.5 0.0 7.134286 14.416625 0.012 0.010256 0.0 0.0 0.0 72.518047 0.135273 0.0 4.312913 0.007738 2e-06 23.256879 8e-06 0.0 5.436762 54.722742 17.795305 0.245391398916
25.0 0.0 5.493095 12.98375 0.023062 0.025169 0.0 0.0 0.0 72.518047 0.266272 0.0 5.162196 0.008823 3e-06 23.748551 2e-05 0.0 6.337928 54.048869 18.469178 0.254683885792
25.5 0.0 4.156584 11.477389 0.033517 0.058541 0.0 0.0 0.0 72.518047 0.496595 0.0 5.971753 0.009778 7e-06 24.057188 4.7e-05 1e-06 7.203947 53.465347 19.0527 0.262730462115
26.0 0.0 3.090315 9.958178 0.043396 0.129107 0.0 0.0 0.0 72.518047 0.877616 0.0 6.698023 0.010571 1.3e-05 24.153411 0.000104 1e-06 8.009681 52.970416 19.547631 0.269555397707
26.5 0.0 2.256936 8.480012 0.05273 0.270092 0.0 0.0 0.0 72.518047 1.469925 0.0 7.307881 0.011194 2.4e-05 23.997414 0.000217 3e-06 8.733643 52.580071 19.937976 0.274938126781
27.0 1e-06 1.61882 7.087243 0.061551 0.536242 0.0 0.0 0.0 72.518047 2.333639 0.0 7.780772 0.011655 4.4e-05 23.542092 0.000432 5e-06 9.354299 52.326795 20.191252 0.278430719459
27.5 2e-06 1.140148 5.813074 0.06989 1.01098 0.0 0.0 0.0 72.518047 3.512192 0.0 8.107324 0.011979 7.9e-05 22.740771 0.000814 1e-05 9.846613 52.253876 20.264171 0.279436248469
28.0 4e-06 0.788379 4.67912 0.077779 1.811098 0.0 0.0 0.0 72.518047 5.011677 0.0 8.285471 0.012193 0.000143 21.55905 0.001458 1.8e-05 10.180938 52.407328 20.110719 0.277320195896
28.5 7e-06 0.535124 3.696015 0.085249 3.085271 0.0 0.0 0.0 72.518047 6.781064 0.0 8.31593 0.012327 0.000252 19.98849 0.002483 3.3e-05 10.32539 52.827635 19.690412 0.271524300703
29.0 1.4e-05 0.3565 2.864804 0.092332 5.002509 0.0 0.0 0.0 72.518047 8.700953 0.0 8.198969 0.012406 0.000439 18.058274 0.004026 6.1e-05 10.251428 53.542715 18.975332 0.26166358286
29.5 2.6e-05 0.233074 2.178851 0.09906 7.728325 0.0 0.0 0.0 72.518047 10.588345 0.0 7.933795 0.01245 0.000753 15.840528 0.00622 0.000109 9.941057 54.562593 17.955454 0.247599800916
30.0 4.8e-05 0.149524 1.625965 0.105463 11.390075 0.0 0.0 0.0 72.518047 12.221163 0.0 7.520808 0.012474 0.001274 13.446167 0.009167 0.000193 9.393438 55.875759 16.642288 0.229491673983
30.5 8.7e-05 0.094116 1.190487 0.111574 16.037902 0.0 0.0 0.0 72.518047 13.379605 0.0 6.965804 0.012485 0.002124 11.010938 0.012908 0.000337 8.62884 57.447207 15.07084 0.207821923279
