# Q dQ R dR fit
0.00877296 0.000101448 0.986226 0.0344533 1
0.0100889 0.000116666 1.01052 0.0331756 1
0.0114048 0.000131883 0.999664 0.0314548 1
0.0127208 0.0001471 1.03329 0.032462 1
0.0140367 0.000162317 0.978458 0.0298082 0.954355
0.0153526 0.000177533 0.108246 0.0034234 0.120391
0.0166685 0.00019275 0.0395991 0.00129953 0.037986
0.0179845 0.000207967 0.0343345 0.00113296 0.0327774
0.0193004 0.000223183 0.0326732 0.00105204 0.0328635
0.0206163 0.0002384 0.0311031 0.000946084 0.0327922
0.0219322 0.000253616 0.0306801 0.00101145 0.0317346
0.0241253 0.000278976 0.0288774 0.000888626 0.0281426
0.0263185 0.000304336 0.024177 0.000736168 0.0233164
0.0285116 0.000329695 0.0191152 0.000575991 0.0182511
0.0307047 0.000355054 0.0140193 0.000423596 0.0136187
0.0328977 0.000380412 0.0101489 0.000308867 0.00977822
0.0350908 0.00040577 0.00693888 0.000216708 0.0068515
0.0372838 0.000431127 0.00480562 0.000152105 0.00479714
0.0394768 0.000456484 0.00360007 0.000118337 0.00347661
0.0416698 0.00048184 0.00269382 8.64713e-05 0.0027086
0.0438627 0.000507195 0.00236888 7.71367e-05 0.00231252
0.0473713 0.000547762 0.00201748 6.53769e-05 0.00206093
0.0508798 0.000588326 0.0019803 6.30942e-05 0.00191828
0.0543882 0.000628889 0.00166718 5.26436e-05 0.00171048
0.0578966 0.000669449 0.00145123 4.59083e-05 0.00143053
0.0614048 0.000710006 0.00118705 3.8239e-05 0.00114553
0.0649128 0.000750561 0.000918955 3.00568e-05 0.000916633
0.0684208 0.000791114 0.000769399 2.54792e-05 0.000762307
0.0719286 0.000831663 0.000668717 2.24278e-05 0.000661291
0.0754363 0.000872209 0.000570086 1.92836e-05 0.000577084
0.0789438 0.000912752 0.000485047 1.67289e-05 0.000483174
0.0824512 0.000953291 0.000377029 1.34853e-05 0.000375438
0.0859585 0.000993827 0.000282107 1.12267e-05 0.000268055
0.087712 0.00101409 0.000229122 8.94285e-06 0.000222145
0.091219 0.00105462 0.000161369 6.82738e-06 0.000155269
0.0947258 0.00109515 0.000128953 5.67199e-06 0.000124513
0.0982324 0.00113567 0.000126463 5.53224e-06 0.000122092
0.101739 0.00117619 0.000131747 5.53874e-06 0.000130561
0.105245 0.0012167 0.0001331 5.36774e-06 0.000132741
0.108751 0.00125721 0.00011627 4.90153e-06 0.000119366
0.112257 0.00129772 8.79343e-05 3.94606e-06 9.16334e-05
0.115762 0.00133822 5.13406e-05 2.77837e-06 5.8376e-05
0.119268 0.00137871 3.06802e-05 2.08834e-06 3.02263e-05
0.122773 0.0014192 1.42076e-05 1.12618e-06 1.41465e-05
0.126278 0.00145968 1.04114e-05 9.72416e-07 1.08378e-05
0.129782 0.00150016 1.75226e-05 1.1667e-06 1.5666e-05
0.133287 0.00154063 2.47712e-05 1.32836e-06 2.19229e-05
0.136791 0.0015811 2.66224e-05 1.34666e-06 2.43655e-05
0.140295 0.00162156 2.167e-05 1.17313e-06 2.12741e-05
0.143798 0.00166202 1.43257e-05 9.68078e-07 1.43594e-05
0.147302 0.00170247 6.50523e-06 7.41959e-07 7.03648e-06
0.150805 0.00174291 1.94229e-06 6.20423e-07 2.22157e-06
0.153432 0.00177324 1.31072e-06 5.44492e-07 1.12485e-06
0.15781 0.00182377 2.44702e-06 5.56503e-07 2.91781e-06
0.162187 0.0018743 5.78511e-06 6.08876e-07 5.74734e-06
0.166564 0.00192482 6.74202e-06 6.12525e-07 6.56089e-06
0.170941 0.00197532 4.09788e-06 5.44393e-07 4.78651e-06
0.175317 0.00202581 2.19643e-06 4.96858e-07 2.17856e-06
0.179693 0.00207629 3.43004e-07 4.46099e-07 7.88698e-07
0.184068 0.00212676 6.2482e-07 4.45024e-07 1.22941e-06
0.188442 0.00217722 2.41902e-06 4.7078e-07 2.51637e-06
0.192816 0.00222766 2.84205e-06 4.67798e-07 3.22732e-06
0.197189 0.0022781 2.02445e-06 4.39606e-07 2.74338e-06
0.201562 0.00232851 1.62206e-06 4.30508e-07 1.56334e-06
0.205934 0.00237892 5.04122e-07 4.08318e-07 6.50347e-07
0.210305 0.00242931 8.07312e-07 3.98115e-07 5.4879e-07
0.214676 0.00247968 1.07895e-06 3.98177e-07 1.03467e-06
0.219046 0.00253004 1.23124e-06 3.93272e-07 1.46255e-06
0.223416 0.00258039 1.3687e-06 3.31832e-07 1.38165e-06
0.227785 0.00263072 9.2674e-07 3.22938e-07 8.64811e-07
0.232153 0.00268104 5.74776e-07 3.21382e-07 3.41935e-07
0.23652 0.00273134 1.7073e-07 3.06995e-07 1.73932e-07
0.240887 0.00278162 5.38984e-07 3.11512e-07 3.66765e-07
0.245253 0.00283189 1.57298e-07 3.02285e-07 6.33271e-07
0.249618 0.00288214 4.5017e-07 2.9944e-07 6.87421e-07
0.253982 0.00293238 4.29278e-07 3.32861e-07 5.09395e-07
0.258346 0.00298259 4.31512e-07 3.32258e-07 3.38198e-07
