z lipid2 substrate bME protein lipid1 headgroup2 headgroup2_2 headgroup2_3 normarea tetherg headgroup1_3 headgroup1_2 defect_hg methyl1 tether defect_hc methyl2 headgroup1 summol water waterperc
0.0 0.0 71.840698 0.000155 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.000258 0.0 0.0 0.0 71.841111 0.000573999999986 7.98979032836e-06
0.5 0.0 71.840581 0.000253 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.000421 0.0 0.0 0.0 71.841255 0.000429999999994 5.98538299866e-06
1.0 0.0 71.840207 0.000407 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.000679 0.0 0.0 0.0 71.841293 0.000391999999991 5.45644217547e-06
1.5 0.0 71.839506 0.000648 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.001083 0.0 0.0 0.0 71.841237 0.000448000000006 6.23593391505e-06
2.0 0.0 71.838351 0.00102 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.001708 0.0 0.0 0.0 71.841079 0.000606000000005 8.43521417969e-06
2.5 0.0 71.836545 0.001588 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.002665 0.0 0.0 0.0 71.840798 0.000887000000006 1.23465923719e-05
3.0 0.0 71.833791 0.002443 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.004111 0.0 0.0 0.0 71.840345 0.00134 1.86521237635e-05
3.5 0.0 71.829662 0.003717 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.006272 0.0 0.0 0.0 71.839651 0.00203400000001 2.83122535337e-05
4.0 0.0 71.82356 0.005592 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.009461 0.0 0.0 0.0 71.838613 0.003072 4.27606897027e-05
4.5 0.0 71.814651 0.008315 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.014114 0.0 0.0 0.0 71.83708 0.004605 6.40992760679e-05
5.0 0.0 71.801804 0.012226 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.020823 0.0 0.0 0.0 71.834853 0.006832 9.50979922033e-05
5.5 0.0 71.783496 0.017772 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.030383 0.0 0.0 0.0 71.831651 0.010034 0.000139668216301
6.0 0.0 71.757713 0.025543 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.043846 0.0 0.0 0.0 71.827102 0.014583 0.000202988000629
6.5 0.0 71.680378 0.036297 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.062582 0.0 0.0 0.0 71.779257 0.062428 0.000868966255454
7.0 0.0 71.655771 0.050996 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.08835 0.0 0.0 0.0 71.795117 0.046568 0.000648203059268
7.5 0.0 71.599055 0.070839 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.123374 0.0 0.0 0.0 71.793268 0.048417 0.000673940206163
8.0 0.0 71.51303 0.097294 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.170421 0.0 0.0 0.0 71.780745 0.06094 0.00084825404638
8.5 0.0 71.394928 0.132126 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.232875 0.0 0.0 0.0 71.759929 0.081756 0.0011380022615
9.0 0.0 71.238533 0.177408 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.314811 0.0 0.0 0.0 71.730752 0.110933 0.00154413137721
9.5 0.0 71.035255 0.235531 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.421043 0.0 0.0 0.0 71.691829 0.149856 0.00208591989456
10.0 0.0 70.774626 0.309183 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.557159 0.0 0.0 0.0 71.640968 0.200717 0.00279387934735
10.5 0.0 70.444546 0.401312 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.729519 0.0 0.0 0.0 71.575377 0.266308 0.00370687296658
11.0 0.0 70.031463 0.515048 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 0.945214 0.0 0.0 0.0 71.491725 0.34996 0.00487126659126
11.5 0.0 69.520586 0.65361 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 1.211972 0.0 0.0 0.0 71.386168 0.455517 0.00634056676148
12.0 0.0 68.896181 0.820157 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 1.538008 0.0 0.0 0.0 71.254346 0.587339 0.00817546247697
12.5 0.0 68.141976 1.017623 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 1.931819 0.0 0.0 0.0 71.091418 0.750267 0.0104433380147
13.0 0.0 67.241679 1.248506 0.0 -0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 2.401913 0.0 0.0 0.0 70.892098 0.949587 0.013217771827
13.5 0.0 66.179602 1.51465 0.0 -0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 2.956481 0.0 0.0 0.0 70.650733 1.190952 0.0165774508212
14.0 0.0 64.941377 1.816999 0.0 -0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 3.603026 0.0 0.0 0.0 70.361402 1.480283 0.0206047923291
