#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.27886031   0.00000000
 10.34094548   3.27886031   0.00000000
 10.34094548   2.27006795   0.00000000
125.77872217   2.27006795   0.00000000
125.77872217   2.27006795   0.00000000
134.27872217   2.27006795   0.00000000
134.27872217   2.27110477   0.00000000
134.77872217   2.27110477   0.00000000
134.77872217   2.27187442   0.00000000
135.27872217   2.27187442   0.00000000
135.27872217   2.27314691   0.00000000
135.77872217   2.27314691   0.00000000
135.77872217   2.27520209   0.00000000
136.27872217   2.27520209   0.00000000
136.27872217   2.27844462   0.00000000
136.77872217   2.27844462   0.00000000
136.77872217   2.28344215   0.00000000
137.27872217   2.28344215   0.00000000
137.27872217   2.29096644   0.00000000
137.77872217   2.29096644   0.00000000
137.77872217   2.30203300   0.00000000
138.27872217   2.30203300   0.00000000
138.27872217   2.31793303   0.00000000
138.77872217   2.31793303   0.00000000
138.77872217   2.34024925   0.00000000
139.27872217   2.34024925   0.00000000
139.27872217   2.37084630   0.00000000
139.77872217   2.37084630   0.00000000
139.77872217   2.41182641   0.00000000
140.27872217   2.41182641   0.00000000
140.27872217   2.46544305   0.00000000
140.77872217   2.46544305   0.00000000
140.77872217   2.53396912   0.00000000
141.27872217   2.53396912   0.00000000
141.27872217   2.61952276   0.00000000
141.77872217   2.61952276   0.00000000
141.77872217   2.72386071   0.00000000
142.27872217   2.72386071   0.00000000
142.27872217   2.84815767   0.00000000
142.77872217   2.84815767   0.00000000
142.77872217   2.99279612   0.00000000
143.27872217   2.99279612   0.00000000
143.27872217   3.15719517   0.00000000
143.77872217   3.15719517   0.00000000
143.77872217   3.33970635   0.00000000
144.27872217   3.33970635   0.00000000
144.27872217   3.53759895   0.00000000
144.77872217   3.53759895   0.00000000
144.77872217   3.74714758   0.00000000
145.27872217   3.74714758   0.00000000
145.27872217   3.96382106   0.00000000
145.77872217   3.96382106   0.00000000
145.77872217   4.18255743   0.00000000
146.27872217   4.18255743   0.00000000
146.27872217   4.39809673   0.00000000
146.77872217   4.39809673   0.00000000
146.77872217   4.60533427   0.00000000
147.27872217   4.60533427   0.00000000
147.27872217   4.79965379   0.00000000
147.77872217   4.79965379   0.00000000
147.77872217   4.97720322   0.00000000
148.27872217   4.97720322   0.00000000
148.27872217   5.13508483   0.00000000
148.77872217   5.13508483   0.00000000
148.77872217   5.27144459   0.00000000
149.27872217   5.27144459   0.00000000
149.27872217   5.38546013   0.00000000
149.77872217   5.38546013   0.00000000
149.77872217   5.47723986   0.00000000
150.27872217   5.47723986   0.00000000
150.27872217   5.54765623   0.00000000
150.77872217   5.54765623   0.00000000
150.77872217   5.59814086   0.00000000
151.27872217   5.59814086   0.00000000
151.27872217   5.63047032   0.00000000
151.77872217   5.63047032   0.00000000
151.77872217   5.64656692   0.00000000
152.27872217   5.64656692   0.00000000
152.27872217   5.64833267   0.00000000
152.77872217   5.64833267   0.00000000
152.77872217   5.63752635   0.00000000
153.27872217   5.63752635   0.00000000
153.27872217   5.61568635   0.00000000
153.77872217   5.61568635   0.00000000
153.77872217   5.58409541   0.00000000
154.27872217   5.58409541   0.00000000
154.27872217   5.54377971   0.00000000
154.77872217   5.54377971   0.00000000
154.77872217   5.49553234   0.00000000
155.27872217   5.49553234   0.00000000
155.27872217   5.43995153   0.00000000
155.77872217   5.43995153   0.00000000
155.77872217   5.37748475   0.00000000
156.27872217   5.37748475   0.00000000
156.27872217   5.30847217   0.00000000
156.77872217   5.30847217   0.00000000
156.77872217   5.23318480   0.00000000
157.27872217   5.23318480   0.00000000
157.27872217   5.15185494   0.00000000
157.77872217   5.15185494   0.00000000
157.77872217   5.06469802   0.00000000
158.27872217   5.06469802   0.00000000
158.27872217   4.97192630   0.00000000
158.77872217   4.97192630   0.00000000
158.77872217   4.87375553   0.00000000
159.27872217   4.87375553   0.00000000
159.27872217   4.77040633   0.00000000
159.77872217   4.77040633   0.00000000
159.77872217   4.66210183   0.00000000
160.27872217   4.66210183   0.00000000
160.27872217   4.54906351   0.00000000
160.77872217   4.54906351   0.00000000
160.77872217   4.43150660   0.00000000
161.27872217   4.43150660   0.00000000
161.27872217   4.30963650   0.00000000
161.77872217   4.30963650   0.00000000
161.77872217   4.18364714   0.00000000
162.27872217   4.18364714   0.00000000
162.27872217   4.05372189   0.00000000
162.77872217   4.05372189   0.00000000
162.77872217   3.92003763   0.00000000
163.27872217   3.92003763   0.00000000
163.27872217   3.78277160   0.00000000
163.77872217   3.78277160   0.00000000
163.77872217   3.64211101   0.00000000
164.27872217   3.64211101   0.00000000
164.27872217   3.49826459   0.00000000
164.77872217   3.49826459   0.00000000
164.77872217   3.35147530   0.00000000
