#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     3.35781227060652                2.069                    0
    10.3409454832297     3.35781227060652     3.27886030924369                    0
    115.437776688105                    0     2.27006794907393                    0
                   9                    0      2.2700679490112                    0
                 0.5                    0     2.26879890516798                    0
                 0.5                    0     2.26790520635293                    0
                 0.5                    0     2.26646188065637                    0
                 0.5                    0     2.26418478046708                    0
                 0.5                    0     2.26067528634314                    0
                 0.5                    0     2.25539142498992                    0
                 0.5                    0      2.2476199631048                    0
                 0.5                    0     2.23645394553195                    0
                 0.5                    0     2.22078145616222                    0
                 0.5                    0     2.19929219424109                    0
                 0.5                    0     2.17050836894482                    0
                 0.5                    0     2.13284505328652                    0
                 0.5                    0     2.08470229339045                    0
                 0.5                    0     2.02458700452618                    0
                 0.5                    0     1.95125742243605                    0
                 0.5                    0     1.86387740581437                    0
                 0.5                    0     1.76216326682309                    0
                 0.5                    0     1.64650318474322                    0
                 0.5                    0     1.51802958925345                    0
                 0.5                    0     1.37862867546977                    0
                 0.5                    0     1.23087825130248                    0
                 0.5                    0     1.07791450065416                    0
                 0.5                    0    0.923238439147818                    0
                 0.5                    0    0.770481987882563                    0
                 0.5                    0    0.623159927196356                    0
                 0.5                    0     0.48443624885876                    0
                 0.5                    0    0.356931141192395                    0
                 0.5                    0    0.242588477706154                    0
                 0.5                    0    0.142614503827961                    0
                 0.5                    0   0.0574881967089402                    0
                 0.5                    0  -0.0129656347281476                    0
                 0.5                    0  -0.0694565026265941                    0
                 0.5                    0   -0.113081431843673                    0
                 0.5                    0   -0.145171317993641                    0
                 0.5                    0    -0.16714795868643                    0
                 0.5                    0   -0.180404635121431                    0
                 0.5                    0   -0.186217624037168                    0
                 0.5                    0   -0.185690717280225                    0
                 0.5                    0   -0.179730505649375                    0
                 0.5                    0   -0.169047267117138                    0
                 0.5                    0    -0.15417485258788                    0
                 0.5                    0   -0.135502777331728                    0
                 0.5                    0    -0.11331444031282                    0
                 0.5                    0  -0.0878266051230795                    0
                 0.5                    0  -0.0592266332937742                    0
                 0.5                    0  -0.0277052112794646                    0
                 0.5                    0  0.00651668324369256                    0
                 0.5                    0   0.0431671136631787                    0
                 0.5                    0   0.0819088974307538                    0
                 0.5                    0    0.122331522727043                    0
                 0.5                    0    0.163948955212525                    0
                 0.5                    0    0.206202942194299                    0
                 0.5                    0    0.248471352950643                    0
                 0.5                    0    0.290081009642535                    0
                 0.5                    0    0.330324355367067                    0
                 0.5                    0    0.368479180387702                    0
                 0.5                    0    0.403830498844723                    0
                 0.5                    0    0.435693554490476                    0
                 0.5                    0    0.463436853315252                    0
                 0.5                    0    0.486504088576123                    0
                 0.5                    0     0.50443385026716                    0
                 0.5                    0    0.516876101325009                    0
                 0.5                    0    0.523604555658865                    0
                 0.5                    0     0.52452430143918                    0
                 0.5                    0    0.519674264912244                    0
                 0.5                    0    0.509224389318237                    0
                 0.5                    0    0.493467691748039                    0
                 0.5                    0     0.47280763853426                    0
                 0.5                    0    0.447741528326304                    0
                 0.5                    0    0.418840774926356                    0
                 0.5                    0    0.386729126444427                    0
                 0.5                    0     0.35205993511687                    0
                 0.5                    0    0.315493600083821                    0
                 0.5                    0    0.277676245582767                    0
                 0.5                    0    0.239220576245905                    0
                 0.5                    0    0.200689680390592                    0
                 0.5                    0    0.162584345240935                    0
                 0.5                    0    0.125334220509236                    0
                 0.5                    0   0.0892929347001336                    0
                 0.5                    0   0.0547370470425403                    0
                 0.5                    0   0.0218685203629346                    0
                 0.5                    0 -0.00917976297426103                    0
                 0.5                    0  -0.0383360414141034                    0
                 0.5                    0  -0.0655799461056578                    0
                 0.5                    0   -0.090931709405563                    0
                 0.5                    0    -0.11444100123578                    0
                 0.5                    0   -0.136176032079261                    0
                 0.5                    0   -0.156213477134548                    0
                 0.5                    0   -0.174629668136466                    0
                 0.5                    0   -0.191493376202284                    0
                 0.5                    0   -0.206860379393431                    0
                 0.5                    0   -0.220769880623434                    0
                 0.5                    0   -0.233242722373817                    0
                 0.5                    0   -0.244281240565839                    0
                 0.5                    0   -0.253870515749853                    0
                 0.5                    0   -0.261980718995137                    0
                 0.5                    0   -0.268570214529444                    0
                 0.5                    0   -0.273589071880736                    0
                 0.5                    0   -0.276982656184685                    0
                 0.5                    0   -0.278695004250579                    0
                 0.5                    0   -0.278671752469649                    0
                 0.5                    0    -0.27686245612301                    0
                 0.5                    0   -0.273222222591295                    0
                 0.5                    0   -0.267712667201267                    0
                 0.5                    0   -0.260302283428213                    0
                 0.5                    0    -0.25096639238999                    0
                 0.5                    0   -0.239686893940686                    0
                 0.5                    0    -0.22645207799537                    0
                 0.5                    0    -0.21125676608891                    0
                 0.5                    0   -0.194103037366761                    0
                 0.5                    0   -0.175001749973955                    0
                 0.5                    0    -0.15397500005145                    0
                 0.5                    0   -0.131059570347549                    0
                 0.5                    0   -0.106311314926254                    0
                 0.5                    0  -0.0798103134457429                    0
                 0.5                    0  -0.0516665170631648                    0
                 0.5                    0  -0.0220255078688277                    0
                 0.5                    0  0.00892608561130809                    0
                 0.5                    0   0.0409560243020733                    0
                 0.5                    0   0.0737832670968547                    0
                 0.5                    0    0.107076646424831                    0
                 0.5                    0    0.140455836456032                    0
                 0.5                    0    0.173494930644322                    0
                 0.5                    0    0.205728801728248                    0
                 0.5                    0    0.236662247605139                    0
                 0.5                    0    0.265781741918039                    0
                 0.5                    0    0.292569421900453                    0
                 0.5                    0    0.316518772059619                    0
                 0.5                    0     0.33715131445262                    0
                 0.5                    0    0.354033507011138                    0
                 0.5                    0    0.366792990468935                    0
                 0.5                    0    0.375133318363729                    0
                 0.5                    0    0.378846355647205                    0
                 0.5                    0    0.377821637564616                    0
                 0.5                    0    0.372052135253574                    0
                 0.5                    0    0.361636067691941                    0
                 0.5                    0    0.346774617877798                    0
                 0.5                    0    0.327765639168136                    0
                 0.5                    0    0.304993659555751                    0
                 0.5                    0     0.27891669196504                    0
                 0.5                    0     0.25005052390836                    0
                 0.5                    0    0.218951279515315                    0
                 0.5                    0    0.186197114202002                    0
                 0.5                    0    0.152369914420317                    0
                 0.5                    0    0.118037833572667                    0
                 0.5                    0   0.0837394057553986                    0
                 0.5                    0   0.0499698502349366                    0
                 0.5                    0   0.0171700225759307                    0
                 0.5                    0  -0.0142817044178744                    0
                 0.5                    0  -0.0440745226205605                    0
                 0.5                    0  -0.0719672930160619                    0
                 0.5                    0  -0.0977878801980477                    0
                 0.5                    0   -0.121430045385685                    0
                 0.5                    0   -0.142848315134183                    0
                 0.5                    0   -0.162051297197796                    0
                 0.5                    0   -0.179093935289947                    0
                 0.5                    0   -0.194069183638931                    0
                 0.5                    0   -0.207099545001064                    0
                 0.5                    0   -0.218328858180311                    0
                 0.5                    0   -0.227914649758022                    0
                 0.5                    0    -0.23602128632196                    0
                 0.5                    0   -0.242814084159202                    0
                 0.5                    0   -0.248454458392481                    0
                 0.5                    0   -0.253096126969868                    0
                 0.5                    0   -0.256882329542861                    0
                 0.5                    0    -0.25994397857815                    0
                 0.5                    0   -0.262398630360764                    0
                 0.5                    0   -0.264350146197721                    0
                 0.5                    0   -0.265888907719059                    0
                 0.5                    0   -0.267092452810536                    0
                 0.5                    0   -0.268026408274126                    0
                 0.5                    0   -0.268745609649985                    0
                 0.5                    0    -0.26929531574485                    0
                 0.5                    0   -0.269712443563374                    0
                  54                    0   -0.270908877853619                    0
                   0                    0   -0.270908877853619                    0
