#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   4.41290855   0.00000000
  5.21125559   4.41290855   0.00000000
  5.21125559   3.22141275   0.00000000
 38.86157077   3.22141275   0.00000000
 38.86157077   4.47416532   0.00000000
197.46078390   4.47416532   0.00000000
197.46078390   4.47415875   0.00000000
202.46078390   4.47415875   0.00000000
202.46078390   4.47305701   0.00000000
202.96078390   4.47305701   0.00000000
202.96078390   4.47247569   0.00000000
203.46078390   4.47247569   0.00000000
203.46078390   4.47162181   0.00000000
203.96078390   4.47162181   0.00000000
203.96078390   4.47038445   0.00000000
204.46078390   4.47038445   0.00000000
204.46078390   4.46861549   0.00000000
204.96078390   4.46861549   0.00000000
204.96078390   4.46612054   0.00000000
205.46078390   4.46612054   0.00000000
205.46078390   4.46264899   0.00000000
205.96078390   4.46264899   0.00000000
205.96078390   4.45788355   0.00000000
206.46078390   4.45788355   0.00000000
206.46078390   4.45143000   0.00000000
206.96078390   4.45143000   0.00000000
206.96078390   4.44280798   0.00000000
207.46078390   4.44280798   0.00000000
207.46078390   4.43144390   0.00000000
207.96078390   4.43144390   0.00000000
207.96078390   4.41666731   0.00000000
208.46078390   4.41666731   0.00000000
208.46078390   4.39771206   0.00000000
208.96078390   4.39771206   0.00000000
208.96078390   4.37372354   0.00000000
209.46078390   4.37372354   0.00000000
209.46078390   4.34377339   0.00000000
209.96078390   4.34377339   0.00000000
209.96078390   4.30688220   0.00000000
210.46078390   4.30688220   0.00000000
210.46078390   4.26205078   0.00000000
210.96078390   4.26205078   0.00000000
210.96078390   4.20829924   0.00000000
211.46078390   4.20829924   0.00000000
211.46078390   4.14471293   0.00000000
211.96078390   4.14471293   0.00000000
211.96078390   4.07049274   0.00000000
212.46078390   4.07049274   0.00000000
212.46078390   3.98500696   0.00000000
212.96078390   3.98500696   0.00000000
212.96078390   3.88784092   0.00000000
213.46078390   3.88784092   0.00000000
213.46078390   3.77884031   0.00000000
213.96078390   3.77884031   0.00000000
213.96078390   3.65814418   0.00000000
214.46078390   3.65814418   0.00000000
214.46078390   3.52620385   0.00000000
214.96078390   3.52620385   0.00000000
214.96078390   3.38378512   0.00000000
215.46078390   3.38378512   0.00000000
215.46078390   3.23195224   0.00000000
215.96078390   3.23195224   0.00000000
215.96078390   3.07203387   0.00000000
216.46078390   3.07203387   0.00000000
216.46078390   2.90557285   0.00000000
216.96078390   2.90557285   0.00000000
216.96078390   2.73426327   0.00000000
217.46078390   2.73426327   0.00000000
217.46078390   2.55987978   0.00000000
217.96078390   2.55987978   0.00000000
217.96078390   2.38420457   0.00000000
218.46078390   2.38420457   0.00000000
218.46078390   2.20895811   0.00000000
218.96078390   2.20895811   0.00000000
218.96078390   2.03573883   0.00000000
219.46078390   2.03573883   0.00000000
219.46078390   1.86597610   0.00000000
219.96078390   1.86597610   0.00000000
219.96078390   1.70089920   0.00000000
220.46078390   1.70089920   0.00000000
220.46078390   1.54152293   0.00000000
220.96078390   1.54152293   0.00000000
220.96078390   1.38864889   0.00000000
221.46078390   1.38864889   0.00000000
221.46078390   1.24287966   0.00000000
221.96078390   1.24287966   0.00000000
221.96078390   1.10464185   0.00000000
222.46078390   1.10464185   0.00000000
222.46078390   0.97421370   0.00000000
222.96078390   0.97421370   0.00000000
222.96078390   0.85175272   0.00000000
223.46078390   0.85175272   0.00000000
223.46078390   0.73731993   0.00000000
223.96078390   0.73731993   0.00000000
223.96078390   0.63089816   0.00000000
224.46078390   0.63089816   0.00000000
224.46078390   0.53240346   0.00000000
224.96078390   0.53240346   0.00000000
224.96078390   0.44169010   0.00000000
225.46078390   0.44169010   0.00000000
225.46078390   0.35855079   0.00000000
225.96078390   0.35855079   0.00000000
225.96078390   0.28271460   0.00000000
226.46078390   0.28271460   0.00000000
226.46078390   0.21384527   0.00000000
226.96078390   0.21384527   0.00000000
226.96078390   0.15154252   0.00000000
227.46078390   0.15154252   0.00000000
227.46078390   0.09534809   0.00000000
227.96078390   0.09534809   0.00000000
227.96078390   0.04475755   0.00000000
228.46078390   0.04475755   0.00000000
228.46078390  -0.00076231   0.00000000
228.96078390  -0.00076231   0.00000000
228.96078390  -0.04175176   0.00000000
229.46078390  -0.04175176   0.00000000
229.46078390  -0.07873392   0.00000000
229.96078390  -0.07873392   0.00000000
229.96078390  -0.11219056   0.00000000
230.46078390  -0.11219056   0.00000000
230.46078390  -0.14254046   0.00000000
230.96078390  -0.14254046   0.00000000
230.96078390  -0.17012272   0.00000000
231.46078390  -0.17012272   0.00000000
231.46078390  -0.19518663   0.00000000
231.96078390  -0.19518663   0.00000000
231.96078390  -0.21788926   0.00000000
232.46078390  -0.21788926   0.00000000
