#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     4.30121615030725                2.069                    0
    5.21125558998752     4.30121615030725     4.41290854541868                    0
    33.6503151782727     16.0505484300169     3.22141275296522                    0
    158.599213134284                    0     4.47416532245001                    0
                   5                    0     4.47415265461206                    0
                 0.5                    0     4.47303497592921                    0
                 0.5                    0     4.47244088851544                    0
                 0.5                    0     4.47156821991452                    0
                 0.5                    0     4.47030356478103                    0
                 0.5                    0     4.46849548241271                    0
                 0.5                    0     4.46594521092697                    0
                 0.5                    0     4.46239646251336                    0
                 0.5                    0     4.45752473448146                    0
                 0.5                    0     4.45092679382089                    0
                 0.5                    0     4.44211123098276                    0
                 0.5                    0     4.43049120682225                    0
                 0.5                    0     4.41538070217741                    0
                 0.5                    0     4.39599568341628                    0
                 0.5                    0     4.37146157842981                    0
                 0.5                    0      4.3408282786764                    0
                 0.5                    0     4.30309351754672                    0
                 0.5                    0     4.25723491550408                    0
                 0.5                    0     4.20225024537716                    0
                 0.5                    0     4.13720460374483                    0
                 0.5                    0     4.06128225382738                    0
                 0.5                    0     3.97384003500254                    0
                 0.5                    0     3.87445853354107                    0
                 0.5                    0     3.76298679927773                    0
                 0.5                    0     3.63957637744383                    0
                 0.5                    0     3.50470087097639                    0
                 0.5                    0     3.35915816982661                    0
                 0.5                    0     3.20405382883502                    0
                 0.5                    0       3.040765726354                    0
                 0.5                    0     2.87089191551927                    0
                 0.5                    0     2.69618527413444                    0
                 0.5                    0     2.51847994347065                    0
                 0.5                    0     2.33961542162683                    0
                 0.5                    0     2.16136440257814                    0
                 0.5                    0     1.98536997216171                    0
                 0.5                    0     1.81309663159311                    0
                 0.5                    0     1.64579796104468                    0
                 0.5                    0     1.48450178415007                    0
                 0.5                    0     1.33001172010216                    0
                 0.5                    0      1.1829222889059                    0
                 0.5                    0     1.04364350268889                    0
                 0.5                    0    0.912430288166674                    0
                 0.5                    0    0.789412194618102                    0
                 0.5                    0    0.674619589153475                    0
                 0.5                    0    0.568003769350883                    0
                 0.5                    0    0.469449906576453                    0
                 0.5                    0    0.378783217903898                    0
                 0.5                    0    0.295770013369512                    0
                 0.5                    0    0.220116096567606                    0
