z normarea methyl substrate lipid cg phosphate protein serine summol water waterperc
0.0 68.47816 0.122011 68.234404 0.060872 0.0 0.0 0.0 0.0 68.417287 0.060873 0.000888940357042
0.5 68.47816 0.124625 68.228345 0.077791 0.0 0.0 -0.025308 0.0 68.405453 0.072707 0.00106175457985
1.0 68.47816 0.093587 68.209994 0.098922 0.0 0.0 -0.096105 0.0 68.306398 0.171762 0.00250827417092
1.5 68.47816 0.114998 68.178819 0.125173 0.0 0.0 -0.204698 0.0 68.214292 0.263868 0.00385331615219
2.0 68.47816 0.140562 68.133937 0.157614 0.0 0.0 -0.343395 0.0 68.088718 0.389442 0.005687097901
2.5 68.47816 0.170903 68.07411 0.197492 0.0 0.0 -0.504503 0.0 67.938002 0.540158 0.0078880332065
3.0 68.47816 0.206696 67.997741 0.246251 0.0 0.0 -0.680331 0.0 67.770357 0.707803 0.010336186019
3.5 68.47816 0.248666 67.902878 0.305554 0.0 0.0 -0.863186 0.0 67.593912 0.884248 0.0129128469573
4.0 68.47816 0.29758 67.787214 0.377299 0.0 0.0 -1.045376 0.0 67.416717 1.061443 0.0155004602927
4.5 68.47816 0.354236 67.64809 0.463638 0.0 0.0 -1.219209 0.0 67.246755 1.231405 0.0179824487107
5.0 68.47816 0.419455 67.482505 0.566989 0.0 0.0 -1.376991 0.0 67.091958 1.386202 0.0202429796595
5.5 68.47816 0.49406 67.28713 0.690049 0.0 0.0 -1.511032 0.0 66.960207 1.517953 0.0221669653507
6.0 68.47816 0.578864 67.05832 0.835801 0.0 0.0 -1.613639 0.0 66.859346 1.618814 0.023639858314
6.5 68.47816 0.674645 66.756486 1.007515 0.0 0.0 -1.677119 0.0 66.761527 1.716633 0.0250683283546
7.0 68.47816 0.782126 66.471358 1.208746 0.0 0.0 -1.693781 0.0 66.768449 1.709711 0.0249672450311
7.5 68.47816 0.901945 66.126842 1.443318 0.0 0.0 -1.655932 0.0 66.816173 1.661987 0.0242703220998
8.0 68.47816 1.034633 65.726049 1.715308 0.0 0.0 -1.555879 0.0 66.920111 1.558049 0.0227524951021
8.5 68.47816 1.180578 65.267833 2.029017 0.0 0.0 -1.385931 0.0 67.091497 1.386663 0.0202497117329
9.0 68.47816 1.340002 64.748998 2.388925 1e-06 0.0 -1.138395 0.0 67.339531 1.138629 0.016627622588
9.5 68.47816 1.512929 64.165505 2.799653 2e-06 0.0 -0.805579 0.0 67.67251 0.80565 0.0117650649492
10.0 68.47816 1.699159 63.513081 3.265894 3e-06 0.0 -0.379791 0.0 68.098346 0.379814 0.00554649832881
