Model 0x108c3ee80
  size 1002 out of 1114
  interface=0x108c3ef20
  repeats=0 at 0x108c3eeb4
  # d(0x7fda440067a0) rho(0x7fda440044d0) mu(0x7fda44002200) rough(0x7fda44008a70)
  0 0 0 0 7
  1 0.5 2.60904e-08 9.12906e-08 0
  2 0.5 2.60077e-08 9.13459e-08 0
  3 0.5 2.59341e-08 9.15004e-08 0
  4 0.5 2.61625e-08 9.17371e-08 0
  5 0.5 2.70271e-08 9.20388e-08 0
  6 0.5 2.89038e-08 9.23885e-08 0
  7 0.5 3.22106e-08 9.27691e-08 0
  8 0.5 3.74081e-08 9.31634e-08 0
  9 0.5 4.50002e-08 9.35545e-08 0
  10 0.5 5.55334e-08 9.39253e-08 0
  11 0.5 6.95975e-08 9.42585e-08 0
  12 0.5 8.78243e-08 9.45372e-08 0
  13 0.5 1.10886e-07 9.47443e-08 0
  14 0.5 1.44994e-07 9.4951e-08 0
  15 0.5 1.7648e-07 9.49109e-08 0
  16 0.5 2.17058e-07 9.47786e-08 0
  17 0.5 2.66387e-07 9.45196e-08 0
  18 0.5 3.24769e-07 9.41091e-08 0
  19 0.5 3.92818e-07 9.35266e-08 0
  20 0.5 4.71288e-07 9.27536e-08 0
  21 0.5 5.60982e-07 9.17725e-08 0
  22 0.5 7.0804e-07 9.12906e-08 0
  23 0.5 9.11895e-07 9.12906e-08 0
  24 0.5 1.14357e-06 9.12906e-08 0
  25 0.5 1.40371e-06 9.12906e-08 0
  26 0.5 1.69013e-06 9.12906e-08 0
  27 0.5 2.00035e-06 9.12906e-08 0
  28 0.5 2.33179e-06 9.12906e-08 0
  29 0.5 2.68171e-06 9.12906e-08 0
  30 0.5 3.04732e-06 9.12906e-08 0
  31 0.5 3.42568e-06 9.12906e-08 0
  32 0.5 3.81385e-06 9.12906e-08 0
  33 0.5 4.20882e-06 9.12906e-08 0
  34 0.5 4.6076e-06 9.12906e-08 0
  35 0.5 5.00723e-06 9.12906e-08 0
  36 0.5 5.40483e-06 9.12906e-08 0
  37 0.5 5.79764e-06 9.12906e-08 0
  38 0.5 6.18303e-06 9.12906e-08 0
  39 0.5 6.55856e-06 9.12906e-08 0
  40 0.5 6.922e-06 9.12906e-08 0
  41 0.5 7.27137e-06 9.12906e-08 0
  42 0.5 7.60494e-06 9.12906e-08 0
  43 0.5 7.92129e-06 9.12906e-08 0
  44 0.5 8.21926e-06 9.12906e-08 0
  45 0.5 8.49801e-06 9.12906e-08 0
  46 0.5 8.757e-06 9.12906e-08 0
  47 0.5 8.996e-06 9.12906e-08 0
  48 0.5 9.21502e-06 9.12906e-08 0
  49 0.5 9.41441e-06 9.12906e-08 0
  50 0.5 9.59812e-06 9.12906e-08 0
  51 0.5 9.77128e-06 9.12906e-08 0
  52 0.5 9.93483e-06 9.12906e-08 0
  53 0.5 1.00898e-05 9.12906e-08 0
  54 0.5 1.02372e-05 9.12906e-08 0
  55 0.5 1.03783e-05 9.12906e-08 0
  56 0.5 1.05143e-05 9.12906e-08 0
  57 0.5 1.06463e-05 9.12906e-08 0
  58 0.5 1.07756e-05 9.12906e-08 0
  59 0.5 1.09034e-05 9.12906e-08 0
  60 0.5 1.10308e-05 9.12906e-08 0
  61 0.5 1.11586e-05 9.12906e-08 0
  62 0.5 1.12877e-05 9.12906e-08 0
  63 0.5 1.14187e-05 9.12906e-08 0
