#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     3.35862441415718                2.069                    0
    10.3308764048771     3.35862441415718     3.28036857265534                    0
    115.419363271688                    0      2.2699167530334                    0
                 8.5                    0     2.26991675297025                    0
                 0.5                    0     2.27095023786769                    0
                 0.5                    0     2.27171791669381                    0
                 0.5                    0     2.27298748624314                    0
                 0.5                    0     2.27503847860688                    0
                 0.5                    0     2.27827518454149                    0
                 0.5                    0     2.28326488831725                    0
                 0.5                    0     2.29077902229757                    0
                 0.5                    0     2.30183292864479                    0
                 0.5                    0     2.31771784813873                    0
                 0.5                    0     2.34001688119997                    0
                 0.5                    0     2.37059549734585                    0
                 0.5                    0     2.41155729015916                    0
                 0.5                    0     2.46515761215396                    0
                 0.5                    0     2.53367178105362                    0
                 0.5                    0     2.61922063696849                    0
                 0.5                    0     2.72356374847321                    0
                 0.5                    0     2.84787838944911                    0
                 0.5                    0     2.99254901859035                    0
                 0.5                    0     3.15699575518288                    0
                 0.5                    0      3.3395698906666                    0
                 0.5                    0     3.53753910188747                    0
                 0.5                    0     3.74717499611522                    0
                 0.5                    0     3.96394223028958                    0
                 0.5                    0      4.1827738989655                    0
                 0.5                    0      4.3984048264378                    0
                 0.5                    0     4.60572535422021                    0
                 0.5                    0     4.80011499580452                    0
                 0.5                    0     4.97771859230393                    0
                 0.5                    0       5.135636684654                    0
                 0.5                    0      5.2720149057318                    0
                 0.5                    0     5.38603175951067                    0
                 0.5                    0     5.47779754175046                    0
                 0.5                    0      5.5481871743499                    0
                 0.5                    0     5.59863506226259                    0
                 0.5                    0     5.63092048142092                    0
                 0.5                    0     5.64696817469671                    0
                 0.5                    0     5.64868214233052                    0
                 0.5                    0     5.63782270386597                    0
                 0.5                    0     5.61592930682902                    0
                 0.5                    0     5.58428539646859                    0
                 0.5                    0     5.54391754946186                    0
                 0.5                    0     5.49561910940859                    0
                 0.5                    0     5.43998844633256                    0
                 0.5                    0     5.37747317389279                    0
                 0.5                    0     5.30841361436059                    0
