#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     5.15548871201104                2.069                    0
    11.5673593271091     5.15548871201104     3.78166087352741                    0
    20.1992532183975     20.7157916113731     2.80213686677568                    0
    164.674736919784                    0     4.66092529451746                    0
                 2.5                    0     4.47900485723348                    0
                 0.5                    0     4.47783792676361                    0
                 0.5                    0     4.47718651142114                    0
                 0.5                    0     4.47628692355772                    0
                 0.5                    0      4.4750609589259                    0
                 0.5                    0     4.47340878470658                    0
                 0.5                    0     4.47120487253909                    0
                 0.5                    0     4.46829355957976                    0
                 0.5                    0     4.46448437667884                    0
                 0.5                    0     4.45954733650341                    0
                 0.5                    0     4.45320843311836                    0
                 0.5                    0     4.44514566440782                    0
                 0.5                    0     4.43498594494476                    0
                 0.5                    0     4.42230332394527                    0
                 0.5                    0     4.40661895518773                    0
                 0.5                    0     4.38740327875309                    0
                 0.5                    0     4.36408086640917                    0
                 0.5                    0     4.33603835642212                    0
                 0.5                    0     4.30263586907363                    0
                 0.5                    0     4.26322226750437                    0
                 0.5                    0     4.21715462911885                    0
                 0.5                    0     4.16382233251934                    0
                 0.5                    0     4.10267622780927                    0
                 0.5                    0     4.03326337140332                    0
                 0.5                    0     3.95526761169608                    0
                 0.5                    0     3.86855565510051                    0
                 0.5                    0      3.7732268126842                    0
                 0.5                    0     3.66966217553722                    0
                 0.5                    0      3.5585655020235                    0
                 0.5                    0     3.44098413401659                    0
                 0.5                    0     3.31829498134356                    0
                 0.5                    0     3.19213984463118                    0
                 0.5                    0     3.06429813141871                    0
                 0.5                    0      2.9364948349085                    0
                 0.5                    0     2.81015739819679                    0
                 0.5                    0     2.68615431435903                    0
                 0.5                    0     2.56456605704069                    0
                 0.5                    0      2.4445486853134                    0
                 0.5                    0     2.32434613459688                    0
                 0.5                    0     2.20148563144638                    0
                 0.5                    0     2.07315370209857                    0
                 0.5                    0     1.93670540720495                    0
                 0.5                    0     1.79021855730595                    0
                 0.5                    0     1.63298058628917                    0
                 0.5                    0     1.46579806080207                    0
                 0.5                    0     1.29105003698518                    0
                 0.5                    0     1.11246044918952                    0
                 0.5                    0     0.93462771295444                    0
                 0.5                    0    0.762404530718398                    0
                 0.5                    0     0.60025231928839                    0
                 0.5                    0    0.451694609217603                    0
                 0.5                    0    0.318963721630522                    0
                 0.5                    0    0.202885307254883                    0
                 0.5                    0    0.102991076195763                    0
                 0.5                    0   0.0178058929656609                    0
                 0.5                    0   -0.054769106039544                    0
                 0.5                    0   -0.117058351059004                    0
                 0.5                    0   -0.171264697688783                    0
                 0.5                    0   -0.219214976239004                    0
                 0.5                    0   -0.262214375935721                    0
                 0.5                    0   -0.301005131489258                    0
                 0.5                    0   -0.335811718738226                    0
                 0.5                    0   -0.366448542185161                    0
                 0.5                    0   -0.392464917956657                    0
                 0.5                    0   -0.413303809410403                    0
                 0.5                    0   -0.428453722943506                    0
                 0.5                    0   -0.437576784732574                    0
                 0.5                    0   -0.440600284395204                    0
                 0.5                    0   -0.437764024388423                    0
                 0.5                    0   -0.429621543909479                    0
                 0.5                    0   -0.416999182704076                    0
                 0.5                    0   -0.400922197379303                    0
                 0.5                    0   -0.382520871301147                    0
                 0.5                    0   -0.362931129712435                    0
                 0.5                    0   -0.343203377724374                    0
                 0.5                    0   -0.324230405794808                    0
                 0.5                    0     -0.3067009441456                    0
                 0.5                    0   -0.291080692130082                    0
                 0.5                    0   -0.277618275310459                    0
                 0.5                    0   -0.266370243082613                    0
                 0.5                    0   -0.257237225452389                    0
