#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.80502378   0.00000000
 11.59933165   3.80502378   0.00000000
 11.59933165   2.80552924   0.00000000
 31.76255750   2.80552924   0.00000000
 31.76255750   4.66006656   0.00000000
196.22176059   4.66006656   0.00000000
196.22176059   4.48563526   0.00000000
198.72176059   4.48563526   0.00000000
198.72176059   4.48437858   0.00000000
199.22176059   4.48437858   0.00000000
199.22176059   4.48368182   0.00000000
199.72176059   4.48368182   0.00000000
199.72176059   4.48272334   0.00000000
200.22176059   4.48272334   0.00000000
200.22176059   4.48142224   0.00000000
200.72176059   4.48142224   0.00000000
200.72176059   4.47967564   0.00000000
201.22176059   4.47967564   0.00000000
201.22176059   4.47735469   0.00000000
201.72176059   4.47735469   0.00000000
201.72176059   4.47430020   0.00000000
202.22176059   4.47430020   0.00000000
202.22176059   4.47031814   0.00000000
202.72176059   4.47031814   0.00000000
202.72176059   4.46517512   0.00000000
203.22176059   4.46517512   0.00000000
203.22176059   4.45859407   0.00000000
203.72176059   4.45859407   0.00000000
203.72176059   4.45025056   0.00000000
204.22176059   4.45025056   0.00000000
204.22176059   4.43977003   0.00000000
204.72176059   4.43977003   0.00000000
204.72176059   4.42672628   0.00000000
205.22176059   4.42672628   0.00000000
205.22176059   4.41064181   0.00000000
205.72176059   4.41064181   0.00000000
205.72176059   4.39099029   0.00000000
206.22176059   4.39099029   0.00000000
206.22176059   4.36720171   0.00000000
206.72176059   4.36720171   0.00000000
206.72176059   4.33867052   0.00000000
207.22176059   4.33867052   0.00000000
207.22176059   4.30476716   0.00000000
207.72176059   4.30476716   0.00000000
207.72176059   4.26485346   0.00000000
208.22176059   4.26485346   0.00000000
208.22176059   4.21830199   0.00000000
208.72176059   4.21830199   0.00000000
208.72176059   4.16452009   0.00000000
209.22176059   4.16452009   0.00000000
209.22176059   4.10297881   0.00000000
209.72176059   4.10297881   0.00000000
209.72176059   4.03324723   0.00000000
210.22176059   4.03324723   0.00000000
210.22176059   3.95503251   0.00000000
210.72176059   3.95503251   0.00000000
210.72176059   3.86822494   0.00000000
211.22176059   3.86822494   0.00000000
211.22176059   3.77294602   0.00000000
211.72176059   3.77294602   0.00000000
211.72176059   3.66959513   0.00000000
212.22176059   3.66959513   0.00000000
212.22176059   3.55888677   0.00000000
212.72176059   3.55888677   0.00000000
212.72176059   3.44186686   0.00000000
213.22176059   3.44186686   0.00000000
213.22176059   3.31989359   0.00000000
213.72176059   3.31989359   0.00000000
213.72176059   3.19456805   0.00000000
214.22176059   3.19456805   0.00000000
214.22176059   3.06760437   0.00000000
214.72176059   3.06760437   0.00000000
214.72176059   2.94063886   0.00000000
215.22176059   2.94063886   0.00000000
215.22176059   2.81499334   0.00000000
215.72176059   2.81499334   0.00000000
215.72176059   2.69142607   0.00000000
216.22176059   2.69142607   0.00000000
216.22176059   2.56991988   0.00000000
216.72176059   2.56991988   0.00000000
216.72176059   2.44956530   0.00000000
217.22176059   2.44956530   0.00000000
217.22176059   2.32859063   0.00000000
217.72176059   2.32859063   0.00000000
217.72176059   2.20456860   0.00000000
218.22176059   2.20456860   0.00000000
218.22176059   2.07479313   0.00000000
218.72176059   2.07479313   0.00000000
218.72176059   1.93677687   0.00000000
219.22176059   1.93677687   0.00000000
219.22176059   1.78878190   0.00000000
219.72176059   1.78878190   0.00000000
219.72176059   1.63027569   0.00000000
220.22176059   1.63027569   0.00000000
220.22176059   1.46220836   0.00000000
220.72176059   1.46220836   0.00000000
220.72176059   1.28704007   0.00000000
221.22176059   1.28704007   0.00000000
221.22176059   1.10849961   0.00000000
221.72176059   1.10849961   0.00000000
221.72176059   0.93111567   0.00000000
222.22176059   0.93111567   0.00000000
222.22176059   0.75961309   0.00000000
222.72176059   0.75961309   0.00000000
222.72176059   0.59829416   0.00000000
223.22176059   0.59829416   0.00000000
223.22176059   0.45052274   0.00000000
223.72176059   0.45052274   0.00000000
223.72176059   0.31839854   0.00000000
224.22176059   0.31839854   0.00000000
224.22176059   0.20266088   0.00000000
224.72176059   0.20266088   0.00000000
224.72176059   0.10280967   0.00000000
225.22176059   0.10280967   0.00000000
225.22176059   0.01739019   0.00000000
225.72176059   0.01739019   0.00000000
225.72176059  -0.05563401   0.00000000
226.22176059  -0.05563401   0.00000000
226.22176059  -0.11849750   0.00000000
226.72176059  -0.11849750   0.00000000
226.72176059  -0.17330139   0.00000000
227.22176059  -0.17330139   0.00000000
227.22176059  -0.22177304   0.00000000
227.72176059  -0.22177304   0.00000000
227.72176059  -0.26513187   0.00000000
228.22176059  -0.26513187   0.00000000
228.22176059  -0.30405636   0.00000000
228.72176059  -0.30405636   0.00000000
